"",BBFB1.Q.N.DE.HU.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.HU.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:58,
1991-01,1.131,
1991-04,2.930,
1991-07,2.202,
1991-10,1.658,
1992-01,1.923,
1992-04,3.439,
1992-07,3.361,
1992-10,3.054,
1993-01,2.188,
1993-04,4.051,
1993-07,3.400,
1993-10,3.161,
1994-01,1.206,
1994-04,2.220,
1994-07,2.134,
1994-10,1.654,
1995-01,1.130,
1995-04,2.241,
1995-07,2.050,
1995-10,1.972,
1996-01,1.099,
1996-04,2.463,
1996-07,3.836,
1996-10,2.324,
1997-01,1.003,
1997-04,3.132,
1997-07,3.112,
1997-10,3.186,
1998-01,2.210,
1998-04,2.672,
1998-07,5.182,
1998-10,3.327,
1999-01,2.349,
1999-04,4.505,
1999-07,7.103,
1999-10,5.014,
2000-01,2.077,
2000-04,4.415,
2000-07,5.675,
2000-10,9.275,
2001-01,4.191,
2001-04,6.221,
2001-07,5.997,
2001-10,7.783,
2002-01,1.258,
2002-04,5.198,
2002-07,4.524,
2002-10,2.249,
2003-01,1.522,
2003-04,4.438,
2003-07,4.381,
2003-10,3.848,
2004-01,-2.767,
2004-04,3.668,
2004-07,3.679,
2004-10,5.668,
2005-01,4.153,
2005-04,4.297,
2005-07,6.607,
2005-10,14.560,
2006-01,4.768,
2006-04,14.181,
2006-07,2.510,
2006-10,2.953,
2007-01,4.177,
2007-04,5.451,
2007-07,4.626,
2007-10,2.876,
2008-01,4.729,
2008-04,7.055,
2008-07,4.324,
2008-10,4.432,
2009-01,13.145,
2009-04,18.304,
2009-07,6.464,
2009-10,17.703,
2010-01,2.818,
2010-04,12.772,
2010-07,2.493,
2010-10,10.253,
2011-01,2.894,
2011-04,6.211,
2011-07,9.149,
2011-10,8.468,
2012-01,8.580,
2012-04,12.156,
2012-07,14.426,
2012-10,15.801,
2013-01,16.609,
2013-04,17.734,
2013-07,24.884,
2013-10,29.849,
2014-01,23.414,Provisional value
2014-04,29.449,Provisional value
2014-07,29.528,Provisional value
