"",BBK01.OEAE05V,BBK01.OEAE05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:34,
2002-01,0.635,
2002-04,0.633,
2002-07,0.618,
2002-10,0.602,
2003-01,0.578,
2003-04,0.568,
2003-07,0.557,
2003-10,0.548,
2004-01,0.526,
2004-04,0.509,
2004-07,0.494,
2004-10,0.488,
2005-01,0.472,
2005-04,0.459,
2005-07,0.456,
2005-10,0.448,
2006-01,0.455,
2006-04,0.452,
2006-07,0.443,
2006-10,0.432,
2007-01,0.435,
2007-04,0.436,
2007-07,0.453,
2007-10,0.455,
2008-01,0.448,
2008-04,0.437,
2008-07,0.436,
2008-10,0.440,
2009-01,0.443,
2009-04,0.442,
2009-07,0.436,
2009-10,0.417,
2010-01,0.414,
2010-04,0.408,
2010-07,0.406,
2010-10,0.404,
2011-01,0.407,
2011-04,0.405,
2011-07,0.402,
2011-10,0.400,
2012-01,0.403,
2012-04,0.399,
2012-07,0.403,
2012-10,0.404,
2013-01,0.403,
2013-04,0.406,
2013-07,0.411,
2013-10,0.403,
2014-01,0.411,
2014-04,0.420,
2014-07,0.429,
