"",BBK01.OEAF35Q,BBK01.OEAF35Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:33,
2002-01,4.997,
2002-04,5.002,
2002-07,5.007,
2002-10,5.053,
2003-01,5.254,
2003-04,5.682,
2003-07,5.487,
2003-10,5.593,
2004-01,6.113,
2004-04,5.700,
2004-07,5.533,
2004-10,5.521,
2005-01,5.473,
2005-04,5.397,
2005-07,5.430,
2005-10,5.481,
2006-01,5.507,
2006-04,5.486,
2006-07,5.465,
2006-10,5.588,
2007-01,5.766,
2007-04,5.202,
2007-07,5.195,
2007-10,5.159,
2008-01,5.050,
2008-04,5.049,
2008-07,5.009,
2008-10,4.989,
2009-01,4.986,
2009-04,5.057,
2009-07,4.998,
2009-10,5.371,
2010-01,4.887,
2010-04,5.057,
2010-07,4.723,
2010-10,4.521,
2011-01,4.509,
2011-04,4.487,
2011-07,4.548,
2011-10,4.419,
2012-01,4.361,
2012-04,4.391,
2012-07,4.367,
2012-10,4.152,
2013-01,4.118,
2013-04,4.110,
2013-07,4.100,
2013-10,4.060,
2014-01,3.967,
2014-04,3.963,
2014-07,3.896,
