"",BBSF2.M.1.T.00000.DGW01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.DGW01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Funds total / Funds-of-funds: Mixed securities funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:41,
2009-09,50,
2009-10,50,
2009-11,50,
2009-12,50,
2010-01,54,
2010-02,54,
2010-03,35,
2010-04,29,
2010-05,20,
2010-06,30,
2010-07,61,
2010-08,61,
2010-09,41,
2010-10,41,
2010-11,40,
2010-12,41,
2011-01,43,
2011-02,35,
2011-03,31,
2011-04,29,
2011-05,29,
2011-06,28,
2011-07,24,
2011-08,24,
2011-09,24,
2011-10,24,
2011-11,24,
2011-12,17,
2012-01,31,
2012-02,19,
2012-03,49,
2012-04,48,
2012-05,48,
2012-06,143,
2012-07,117,
2012-08,142,
2012-09,134,
2012-10,65,
2012-11,66,
2012-12,49,
2013-01,72,
2013-02,71,
2013-03,80,
2013-04,80,
2013-05,91,
2013-06,90,
2013-07,85,
2013-08,81,
2013-09,35,
2013-10,35,
2013-11,36,
2013-12,35,
2014-01,34,
2014-02,34,
2014-03,35,
2014-04,37,
2014-05,38,
2014-06,36,
2014-07,33,
2014-08,31,
2014-09,31,
2014-10,44,
2014-11,31,
