"",BBEX3.M.SCR.USD.CA.AB.A01,BBEX3.M.SCR.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in the Seychelles / USD 1 = SCR ... (selling),
unit,SCR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:40,
1981-01,6.7185,
1981-02,6.8448,
1981-03,5.9689,comment
1981-04,6.0590,
1981-05,6.2546,
1981-06,6.3361,
1981-07,6.4890,
1981-08,6.4701,
1981-09,6.3692,
1981-10,6.3924,
1981-11,6.2521,
1981-12,6.2896,
1982-01,6.3959,
1982-02,6.4689,
1982-03,6.5627,
1982-04,6.4938,
1982-05,6.5003,
1982-06,6.7122,
1982-07,6.6879,
1982-08,6.7603,
1982-09,6.8103,
1982-10,6.8585,
1982-11,6.7695,
1982-12,6.6130,
1983-01,6.7303,
1983-02,6.7098,
1983-03,6.8018,
1983-04,6.7757,
1983-05,6.7909,
1983-06,6.8517,
1983-07,6.9188,
1983-08,6.9965,
1983-09,6.9370,
1983-10,6.9046,
1983-11,6.9973,
1983-12,7.0092,
1984-01,7.0823,
1984-02,6.9408,
1984-03,6.8657,
1984-04,6.9762,
1984-05,7.0326,
1984-06,7.0981,
1984-07,7.2304,
1984-08,7.2025,
1984-09,7.3349,
1984-10,7.3718,
1984-11,7.3853,
1984-12,7.4498,
1985-01,7.5111,
1985-02,7.6333,
1985-03,7.4190,
1985-04,7.4165,
1985-05,7.3632,
1985-06,7.3397,
1985-07,7.0972,
1985-08,7.0659,
1985-09,6.9196,
1985-10,6.8327,
1985-11,6.7261,
1985-12,6.6843,
1986-01,6.6228,
1986-02,6.3111,
1986-03,6.4400,
1986-04,6.2118,
1986-05,6.3469,
1986-06,6.2616,
1986-07,6.1229,
1986-08,6.0567,
1986-09,6.0507,
1986-10,6.0913,
1986-11,6.0680,
1986-12,6.0031,
1987-01,5.7842,
1987-02,5.7972,
1987-03,5.6974,
1987-04,5.6293,
1987-05,5.6795,
1987-06,5.7293,
1987-07,5.7897,
1987-08,5.6830,
1987-09,5.7282,
1987-10,5.5435,
1987-11,5.4217,
1987-12,5.2207,
1988-01,5.3582,
1988-02,5.3963,
1988-03,5.3112,
1988-04,5.3144,
1988-05,5.3549,
1988-06,5.5899,
1988-07,5.6055,
1988-08,5.6648,
1988-09,5.6766,
1988-10,5.4761,
1988-11,5.3635,
1988-12,5.4641,
1989-01,5.5967,
1989-02,5.5147,
1989-03,5.6604,
1989-04,5.6080,
1989-05,5.8337,
1989-06,5.8678,
1989-07,5.7090,
1989-08,5.8736,
1989-09,5.7418,
1989-10,5.7290,
1989-11,5.6863,
1989-12,5.5355,
1990-01,5.5189,
1990-02,5.5607,
1990-03,5.6415,
1990-04,5.6257,
1990-05,5.5407,
1990-06,5.5331,
1990-07,5.3968,
1990-08,5.2934,
1990-09,5.2638,
1990-10,5.1146,
1990-11,5.0862,
1990-12,5.1828,
1991-01,5.1092,
1991-02,5.1607,
1991-03,5.4183,
1991-04,5.4910,
1991-05,5.4445,
1991-06,5.5543,
1991-07,5.4921,
1991-08,5.5764,
