"",BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.O.F2.T._T.N.N,BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.O.F2.T._T.N.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Currency and deposits / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:36,
1991-01,3052.596,
1991-04,-16092.696,
1991-07,-4615.853,
1991-10,15880.521,
1992-01,-787.704,
1992-04,-6665.104,
1992-07,-2040.960,
1992-10,20861.715,
1993-01,21549.372,
1993-04,16467.502,
1993-07,264.514,
1993-10,42355.030,
1994-01,-23047.841,
1994-04,-17166.587,
1994-07,-2618.528,
1994-10,21645.636,
1995-01,4301.874,
1995-04,14218.826,
1995-07,1745.422,
1995-10,-4187.144,
1996-01,-9414.100,
1996-04,-268.251,
1996-07,-2525.219,
1996-10,20009.044,
1997-01,8866.549,
1997-04,2405.074,
1997-07,-7687.044,
1997-10,15447.491,
1998-01,10017.133,
1998-04,12722.507,
1998-07,-7377.176,
1998-10,28480.572,
1999-01,26077.284,
1999-04,-25756.589,
1999-07,13055.892,
1999-10,-4351.411,
2000-01,4873.215,
2000-04,20839.199,
2000-07,-990.409,
2000-10,-14947.159,
2001-01,46250.169,
2001-04,-24547.091,
2001-07,35063.664,
2001-10,-20656.388,
2002-01,-1098.692,
2002-04,50555.018,
2002-07,61920.292,
2002-10,23945.649,
2003-01,55165.522,
2003-04,40208.767,
2003-07,-6983.997,
2003-10,5598.223,
2004-01,37432.798,
2004-04,-16031.905,
2004-07,54476.278,
2004-10,35039.675,
2005-01,58968.026,
2005-04,7090.223,
2005-07,13871.977,
2005-10,-21042.029,
2006-01,63156.744,
2006-04,26401.838,
2006-07,10573.024,
2006-10,6641.610,
2007-01,34663.787,
2007-04,79103.270,
2007-07,45507.653,
2007-10,20315.235,
2008-01,67132.411,
2008-04,-27393.733,
2008-07,14974.728,
2008-10,-39829.866,
2009-01,-39322.079,
2009-04,3000.506,
2009-07,-43712.028,
2009-10,33739.113,
2010-01,30307.249,
2010-04,62833.483,
2010-07,90484.843,
2010-10,-30974.389,
2011-01,-14096.545,
2011-04,39892.541,
2011-07,136123.975,
2011-10,-51889.088,
2012-01,170285.228,
2012-04,100132.628,
2012-07,-23311.540,
2012-10,-91819.418,
2013-01,-52347.414,
2013-04,-6642.985,
2013-07,-46228.905,
2013-10,-57560.568,
2014-01,12243.845,
2014-04,29441.377,
2014-07,26245.979,
