"",BBK01.OECB02V,BBK01.OECB02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:19,
2002-01,1.449,
2002-04,1.449,
2002-07,1.432,
2002-10,1.371,
2003-01,1.241,
2003-04,1.243,
2003-07,1.464,
2003-10,1.313,
2004-01,1.157,
2004-04,1.101,
2004-07,1.121,
2004-10,0.966,
2005-01,1.002,
2005-04,0.999,
2005-07,0.983,
2005-10,0.874,
2006-01,0.898,
2006-04,0.950,
2006-07,0.985,
2006-10,0.933,
2007-01,0.817,
2007-04,0.838,
2007-07,0.822,
2007-10,0.836,
2008-01,0.853,
2008-04,0.957,
2008-07,1.071,
2008-10,0.983,
2009-01,0.934,
2009-04,0.885,
2009-07,0.886,
2009-10,0.847,
2010-01,0.871,
2010-04,0.807,
2010-07,0.949,
2010-10,0.858,
2011-01,0.855,
2011-04,0.935,
2011-07,0.993,
2011-10,0.947,
2012-01,0.922,
2012-04,0.909,
2012-07,1.002,
2012-10,0.966,
2013-01,1.057,
2013-04,0.895,
2013-07,1.095,
2013-10,1.007,
2014-01,1.072,
2014-04,1.279,
2014-07,1.183,
