"",BBK01.OEAF12O,BBK01.OEAF12O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:57,
2002-01,2.239,
2002-04,2.202,
2002-07,2.266,
2002-10,2.227,
2003-01,2.091,
2003-04,2.095,
2003-07,2.083,
2003-10,2.018,
2004-01,1.889,
2004-04,1.915,
2004-07,1.891,
2004-10,1.836,
2005-01,1.764,
2005-04,1.766,
2005-07,1.756,
2005-10,1.796,
2006-01,1.710,
2006-04,1.738,
2006-07,1.764,
2006-10,1.641,
2007-01,1.664,
2007-04,1.692,
2007-07,1.707,
2007-10,1.671,
2008-01,1.699,
2008-04,1.539,
2008-07,1.578,
2008-10,1.586,
2009-01,1.513,
2009-04,1.502,
2009-07,1.478,
2009-10,1.404,
2010-01,1.401,
2010-04,1.399,
2010-07,1.418,
2010-10,1.319,
2011-01,1.349,
2011-04,1.367,
2011-07,1.387,
2011-10,1.340,
2012-01,1.499,
2012-04,1.500,
2012-07,1.441,
2012-10,1.362,
2013-01,1.260,
2013-04,1.254,
2013-07,1.296,
2013-10,1.232,
2014-01,1.240,
2014-04,1.259,
2014-07,1.246,
