"",BBK01.OECK02K,BBK01.OECK02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:44,
2002-01,0.378,
2002-04,0.474,
2002-07,0.456,
2002-10,0.545,
2003-01,0.533,
2003-04,0.484,
2003-07,0.537,
2003-10,0.459,
2004-01,0.483,
2004-04,0.454,
2004-07,0.466,
2004-10,1.000,
2005-01,1.023,
2005-04,1.056,
2005-07,1.094,
2005-10,0.987,
2006-01,0.845,
2006-04,0.879,
2006-07,0.849,
2006-10,0.873,
2007-01,0.893,
2007-04,0.884,
2007-07,0.999,
2007-10,1.224,
2008-01,0.945,
2008-04,0.940,
2008-07,0.898,
2008-10,0.967,
2009-01,1.082,
2009-04,1.430,
2009-07,1.444,
2009-10,1.518,
2010-01,1.588,
2010-04,1.682,
2010-07,1.664,
2010-10,1.649,
2011-01,1.607,
2011-04,1.996,
2011-07,1.546,
2011-10,1.613,
2012-01,1.805,
2012-04,1.843,
2012-07,1.727,
2012-10,1.799,
2013-01,1.986,
2013-04,2.086,
2013-07,2.317,
2013-10,2.585,
2014-01,2.625,
2014-04,2.554,
2014-07,2.576,
