"",BBFN1.M.DE.N.1.L.JP.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.JP.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Japan,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:52,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,2.941,
1995-01,2.799,
1995-02,2.728,
1995-03,2.820,
1995-04,2.821,
1995-05,2.823,
1995-06,2.912,
1995-07,2.885,
1995-08,2.863,
1995-09,3.057,
1995-10,3.018,
1995-11,3.046,
1995-12,3.018,
1996-01,2.798,
1996-02,2.870,
1996-03,2.879,
1996-04,2.949,
1996-05,2.821,
1996-06,2.788,
1996-07,2.631,
1996-08,2.579,
1996-09,2.606,
1996-10,2.682,
1996-11,2.666,
1996-12,2.756,
1997-01,2.795,
1997-02,2.730,
1997-03,2.838,
1997-04,2.792,
1997-05,2.851,
1997-06,2.944,
1997-07,2.957,
1997-08,3.028,
1997-09,3.238,
1997-10,3.372,
1997-11,3.372,
1997-12,3.431,
1998-01,3.464,
1998-02,3.443,
1998-03,3.485,
1998-04,3.367,
1998-05,3.330,
1998-06,3.337,
1998-07,3.359,
1998-08,3.268,
1998-09,3.317,
1998-10,3.301,
1998-11,3.265,
1998-12,3.182,
1999-01,2.978,
1999-02,3.244,
1999-03,3.381,
1999-04,3.357,
1999-05,3.242,
1999-06,3.233,
1999-07,3.184,
1999-08,3.198,
1999-09,3.433,
1999-10,3.415,
1999-11,3.386,
1999-12,3.729,
2000-01,3.589,
2000-02,3.715,
2000-03,4.186,
2000-04,4.099,
2000-05,3.975,
2000-06,4.189,
2000-07,4.217,
2000-08,4.318,
2000-09,4.516,
2000-10,4.652,
2000-11,4.570,
2000-12,4.681,
2001-01,4.406,
2001-02,4.263,
2001-03,4.564,
2001-04,4.522,
2001-05,4.314,
2001-06,4.314,
2001-07,4.074,
2001-08,3.902,
2001-09,4.223,
2001-10,4.247,
2001-11,4.200,
2001-12,4.171,
2002-01,3.899,
2002-02,3.797,
2002-03,3.897,
2002-04,3.742,
2002-05,3.662,
2002-06,3.661,
2002-07,3.575,
2002-08,3.621,
2002-09,3.756,
2002-10,3.723,
2002-11,3.763,
2002-12,3.841,
2003-01,3.641,
2003-02,3.527,
2003-03,3.758,
2003-04,3.806,
2003-05,3.818,
2003-06,3.936,
2003-07,3.758,
2003-08,3.834,
2003-09,4.073,
2003-10,4.100,
2003-11,4.140,
2003-12,4.169,
2004-01,4.121,
2004-02,3.952,
2004-03,4.135,
2004-04,4.132,
2004-05,4.180,
2004-06,4.338,
2004-07,4.189,
2004-08,4.083,
2004-09,4.320,
2004-10,4.413,
2004-11,4.567,
2004-12,4.516,
2005-01,4.280,
2005-02,4.180,
2005-03,4.395,
2005-04,4.241,
2005-05,3.916,
2005-06,3.982,
2005-07,3.890,
2005-08,3.866,
2005-09,4.168,
2005-10,4.494,
2005-11,4.434,
2005-12,4.408,
2006-01,4.148,
2006-02,4.107,
2006-03,4.271,
2006-04,4.206,
2006-05,4.217,
2006-06,4.461,
2006-07,4.342,
2006-08,4.364,
2006-09,4.508,
2006-10,4.644,
2006-11,4.737,
2006-12,4.892,
2007-01,4.777,
2007-02,4.697,
2007-03,5.037,
2007-04,5.086,
2007-05,5.091,
2007-06,5.465,
2007-07,5.286,
2007-08,5.290,
2007-09,5.498,
2007-10,5.669,
2007-11,5.857,
2007-12,6.050,
2008-01,5.847,
2008-02,5.715,
2008-03,5.963,
2008-04,5.744,
2008-05,5.736,
2008-06,5.910,
2008-07,5.904,
2008-08,5.870,
2008-09,6.136,
2008-10,6.310,
2008-11,6.194,
2008-12,6.243,
2009-01,5.733,
2009-02,5.164,
2009-03,4.944,
2009-04,4.780,
2009-05,4.857,
2009-06,4.787,
2009-07,4.730,
2009-08,4.610,
2009-09,4.604,
2009-10,4.924,
2009-11,5.094,
2009-12,4.872,
2010-01,4.605,
2010-02,4.323,
2010-03,4.558,
2010-04,4.479,
2010-05,4.491,
2010-06,4.605,
2010-07,4.524,
2010-08,4.618,
2010-09,5.017,
2010-10,5.199,
2010-11,5.275,
2010-12,5.411,
2011-01,5.093,
2011-02,5.166,
2011-03,5.343,
2011-04,5.216,
2011-05,5.121,
2011-06,5.032,
2011-07,4.830,
2011-08,4.803,
2011-09,5.289,
2011-10,5.599,
2011-11,5.564,
2011-12,5.777,
2012-01,5.292,
2012-02,5.216,
2012-03,5.285,
2012-04,5.163,
2012-05,5.009,
2012-06,4.999,
2012-07,4.839,
2012-08,4.840,
2012-09,5.113,
2012-10,5.230,
2012-11,5.517,
2012-12,5.576,
2013-01,5.218,
2013-02,4.815,
2013-03,4.721,
2013-04,4.527,
2013-05,4.749,
2013-06,4.801,
2013-07,4.596,
2013-08,4.621,
2013-09,4.892,
2013-10,5.103,
2013-11,5.010,
2013-12,5.290,
2014-01,5.008,
2014-02,4.590,
2014-03,4.453,
2014-04,4.581,
2014-05,4.673,
2014-06,4.671,
2014-07,4.601,
2014-08,4.510,
2014-09,4.665,
2014-10,4.839,
2014-11,4.805,
2014-12,4.921,
