"",BBK01.OELL05I,BBK01.OELL05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:06,
2002-01,0.084,
2002-04,0.083,
2002-07,0.081,
2002-10,0.085,
2003-01,0.089,
2003-04,0.161,
2003-07,0.088,
2003-10,0.091,
2004-01,0.101,
2004-04,0.099,
2004-07,0.095,
2004-10,0.123,
2005-01,0.122,
2005-04,0.122,
2005-07,0.121,
2005-10,0.117,
2006-01,0.121,
2006-04,0.120,
2006-07,0.113,
2006-10,0.092,
2007-01,0.089,
2007-04,0.084,
2007-07,0.078,
2007-10,0.074,
2008-01,0.069,
2008-04,0.063,
2008-07,0.060,
2008-10,0.058,
2009-01,0.472,
2009-04,0.049,
2009-07,0.047,
2009-10,0.046,
2010-01,0.046,
2010-04,0.044,
2010-07,0.042,
2010-10,0.045,
2011-01,0.044,
2011-04,0.044,
2011-07,0.050,
2011-10,0.051,
2012-01,0.048,
2012-04,0.053,
2012-07,0.055,
2012-10,0.058,
2013-01,0.059,
2013-04,0.062,
2013-07,0.069,
2013-10,0.069,
2014-01,0.064,
2014-04,0.066,
2014-07,0.067,
