"",BBFN1.M.DE.N.1.L.CL.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CL.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Chile,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:04,
1994-07,0.053,
1994-08,0.070,
1994-09,0.057,
1994-10,0.061,
1994-11,0.071,
1994-12,0.070,
1995-01,0.052,
1995-02,0.054,
1995-03,0.056,
1995-04,0.061,
1995-05,0.076,
1995-06,0.060,
1995-07,0.066,
1995-08,0.118,
1995-09,0.136,
1995-10,0.144,
1995-11,0.137,
1995-12,0.128,
1996-01,0.144,
1996-02,0.152,
1996-03,0.162,
1996-04,0.163,
1996-05,0.166,
1996-06,0.137,
1996-07,0.132,
1996-08,0.133,
1996-09,0.126,
1996-10,0.135,
1996-11,0.103,
1996-12,0.101,
1997-01,0.121,
1997-02,0.126,
1997-03,0.123,
1997-04,0.126,
1997-05,0.126,
1997-06,0.133,
1997-07,0.140,
1997-08,0.150,
1997-09,0.069,
1997-10,0.075,
1997-11,0.074,
1997-12,0.085,
1998-01,0.068,
1998-02,0.074,
1998-03,0.104,
1998-04,0.084,
1998-05,0.083,
1998-06,0.089,
1998-07,0.096,
1998-08,0.068,
1998-09,0.083,
1998-10,0.082,
1998-11,0.079,
1998-12,0.100,
1999-01,0.106,
1999-02,0.108,
1999-03,0.110,
1999-04,0.113,
1999-05,0.117,
1999-06,0.112,
1999-07,0.115,
1999-08,0.115,
1999-09,0.084,
1999-10,0.094,
1999-11,0.098,
1999-12,0.075,
2000-01,0.066,
2000-02,0.066,
2000-03,0.046,
2000-04,0.044,
2000-05,0.052,
2000-06,0.039,
2000-07,0.051,
2000-08,0.056,
2000-09,0.057,
2000-10,0.065,
2000-11,0.067,
2000-12,0.080,
2001-01,0.079,
2001-02,0.078,
2001-03,0.078,
2001-04,0.092,
2001-05,0.100,
2001-06,0.106,
2001-07,0.113,
2001-08,0.115,
2001-09,0.094,
2001-10,0.098,
2001-11,0.094,
2001-12,0.100,
2002-01,0.120,
2002-02,0.125,
2002-03,0.139,
2002-04,0.159,
2002-05,0.143,
2002-06,0.108,
2002-07,0.122,
2002-08,0.142,
2002-09,0.142,
2002-10,0.146,
2002-11,0.125,
2002-12,0.139,
2003-01,0.124,
2003-02,0.133,
2003-03,0.150,
2003-04,0.123,
2003-05,0.133,
2003-06,0.146,
2003-07,0.148,
2003-08,0.154,
2003-09,0.161,
2003-10,0.145,
2003-11,0.168,
2003-12,0.175,
2004-01,0.153,
2004-02,0.163,
2004-03,0.185,
2004-04,0.179,
2004-05,0.186,
2004-06,0.197,
2004-07,0.204,
2004-08,0.220,
2004-09,0.221,
2004-10,0.223,
2004-11,0.222,
2004-12,0.240,
2005-01,0.243,
2005-02,0.247,
2005-03,0.247,
2005-04,0.269,
2005-05,0.277,
2005-06,0.278,
2005-07,0.268,
2005-08,0.261,
2005-09,0.281,
2005-10,0.284,
2005-11,0.286,
2005-12,0.156,
2006-01,0.143,
2006-02,0.142,
2006-03,0.157,
2006-04,0.170,
2006-05,0.144,
2006-06,0.177,
2006-07,0.140,
2006-08,0.179,
2006-09,0.173,
2006-10,0.132,
2006-11,0.152,
2006-12,0.153,
2007-01,0.165,
2007-02,0.134,
2007-03,0.146,
2007-04,0.177,
2007-05,0.182,
2007-06,0.170,
2007-07,0.147,
2007-08,0.183,
2007-09,0.175,
2007-10,0.171,
2007-11,0.191,
2007-12,0.149,
2008-01,0.194,
2008-02,0.173,
2008-03,0.253,
2008-04,0.218,
2008-05,0.166,
2008-06,0.211,
2008-07,0.165,
2008-08,0.173,
2008-09,0.215,
2008-10,0.192,
2008-11,0.183,
2008-12,0.160,
2009-01,0.184,
2009-02,0.193,
2009-03,0.224,
2009-04,0.228,
2009-05,0.228,
2009-06,0.223,
2009-07,0.228,
2009-08,0.315,
2009-09,0.290,
2009-10,0.249,
2009-11,0.266,
2009-12,0.302,
2010-01,0.305,
2010-02,0.318,
2010-03,0.341,
2010-04,0.326,
2010-05,0.376,
2010-06,0.353,
2010-07,0.366,
2010-08,0.390,
2010-09,0.355,
2010-10,0.358,
2010-11,0.369,
2010-12,0.388,
2011-01,0.313,
2011-02,0.366,
2011-03,0.380,
2011-04,0.420,
2011-05,0.436,
2011-06,0.486,
2011-07,0.444,
2011-08,0.422,
2011-09,0.439,
2011-10,0.437,
2011-11,0.447,
2011-12,0.417,
2012-01,0.405,
2012-02,0.371,
2012-03,0.356,
2012-04,0.353,
2012-05,0.415,
2012-06,0.433,
2012-07,0.453,
2012-08,0.524,
2012-09,0.527,
2012-10,0.556,
2012-11,0.551,
2012-12,0.631,
2013-01,0.597,
2013-02,0.584,
2013-03,0.636,
2013-04,0.608,
2013-05,0.676,
2013-06,0.665,
2013-07,0.694,
2013-08,0.645,
2013-09,0.480,
2013-10,0.609,
2013-11,0.617,
2013-12,0.618,
2014-01,0.625,
2014-02,0.600,
2014-03,0.602,
2014-04,0.608,
2014-05,0.630,
2014-06,0.585,
2014-07,0.526,
2014-08,0.544,
2014-09,0.539,
2014-10,0.478,
2014-11,0.527,
2014-12,0.598,
