"",BBK01.OEHJ05L,BBK01.OEHJ05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:39,
2002-01,0.615,
2002-04,0.630,
2002-07,0.603,
2002-10,0.600,
2003-01,0.572,
2003-04,0.625,
2003-07,0.596,
2003-10,0.478,
2004-01,0.445,
2004-04,0.461,
2004-07,0.473,
2004-10,0.458,
2005-01,0.431,
2005-04,0.388,
2005-07,0.385,
2005-10,0.394,
2006-01,0.386,
2006-04,0.393,
2006-07,0.369,
2006-10,0.375,
2007-01,0.355,
2007-04,0.346,
2007-07,0.335,
2007-10,0.335,
2008-01,0.353,
2008-04,0.343,
2008-07,0.332,
2008-10,0.339,
2009-01,0.322,
2009-04,0.296,
2009-07,0.337,
2009-10,0.334,
2010-01,0.389,
2010-04,0.389,
2010-07,0.376,
2010-10,0.402,
2011-01,0.412,
2011-04,0.413,
2011-07,0.425,
2011-10,0.438,
2012-01,0.445,
2012-04,0.423,
2012-07,0.448,
2012-10,0.476,
2013-01,0.477,
2013-04,0.521,
2013-07,0.520,
2013-10,0.508,
2014-01,0.510,
2014-04,0.510,
2014-07,0.474,
