"",BBK01.OEAE22N,BBK01.OEAE22N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:42,
2002-01,1.614,
2002-04,1.726,
2002-07,1.900,
2002-10,1.945,
2003-01,2.667,
2003-04,2.679,
2003-07,2.472,
2003-10,1.579,
2004-01,1.664,
2004-04,1.645,
2004-07,1.701,
2004-10,1.552,
2005-01,1.677,
2005-04,1.651,
2005-07,1.748,
2005-10,1.738,
2006-01,1.747,
2006-04,1.752,
2006-07,1.721,
2006-10,1.674,
2007-01,1.786,
2007-04,1.736,
2007-07,1.785,
2007-10,1.704,
2008-01,2.024,
2008-04,2.231,
2008-07,1.948,
2008-10,1.872,
2009-01,1.773,
2009-04,1.970,
2009-07,2.099,
2009-10,2.564,
2010-01,2.122,
2010-04,2.197,
2010-07,2.183,
2010-10,2.548,
2011-01,2.350,
2011-04,2.396,
2011-07,2.262,
2011-10,2.115,
2012-01,2.149,
2012-04,2.096,
2012-07,2.131,
2012-10,2.377,
2013-01,2.253,
2013-04,2.271,
2013-07,2.197,
2013-10,1.885,
2014-01,2.016,
2014-04,1.888,
2014-07,1.938,
