"",BBSF2.M.1.T.00000.DAC01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DAC01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds / Distribution of earnings,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:50,
2009-09,5,
2009-10,214,
2009-11,41,
2009-12,165,
2010-01,8,
2010-02,46,
2010-03,13,
2010-04,2,
2010-05,45,
2010-06,27,
2010-07,7,
2010-08,2,
2010-09,2,
2010-10,29,
2010-11,57,
2010-12,771,
2011-01,9,
2011-02,1,
2011-03,13,
2011-04,10,
2011-05,61,
2011-06,45,
2011-07,13,
2011-08,0,
2011-09,1,
2011-10,503,
2011-11,21,
2011-12,692,
2012-01,11,
2012-02,16,
2012-03,7,
2012-04,51,
2012-05,12,
2012-06,3,
2012-07,2,
2012-08,14,
2012-09,3,
2012-10,84,
2012-11,19,
2012-12,1106,
2013-01,13,
2013-02,43,
2013-03,66,
2013-04,13,
2013-05,2,
2013-06,88,
2013-07,1,
2013-08,18,
2013-09,3,
2013-10,19,
2013-11,181,
2013-12,879,
2014-01,10,
2014-02,3,
2014-03,4,
2014-04,13,
2014-05,7,
2014-06,1,
2014-07,3,
2014-08,142,
2014-09,17,
2014-10,14,
2014-11,580,
