"",BBFB1.Q.N.DE.HU.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.HU.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:55,
1991-01,102.947,
1991-04,85.233,
1991-07,14.356,
1991-10,234.487,
1992-01,301.962,
1992-04,-1.705,
1992-07,-18.324,
1992-10,-81.821,
1993-01,634.246,
1993-04,-56.105,
1993-07,274.963,
1993-10,-71.919,
1994-01,376.214,
1994-04,0.518,
1994-07,-41.404,
1994-10,240.259,
1995-01,-148.610,
1995-04,179.092,
1995-07,42.068,
1995-10,152.976,
1996-01,-381.293,
1996-04,-38.110,
1996-07,-85.088,
1996-10,-139.726,
1997-01,-225.228,
1997-04,-19.802,
1997-07,48.761,
1997-10,68.210,
1998-01,289.588,
1998-04,363.568,
1998-07,265.066,
1998-10,446.803,
1999-01,70.878,
1999-04,445.034,
1999-07,-57.091,
1999-10,71.723,
2000-01,-198.819,
2000-04,93.330,
2000-07,-70.008,
2000-10,393.415,
2001-01,469.257,
2001-04,218.083,
2001-07,244.030,
2001-10,-224.375,
2002-01,137.813,
2002-04,37.587,
2002-07,248.152,
2002-10,-101.765,
2003-01,122.435,
2003-04,1264.612,
2003-07,90.220,
2003-10,346.766,
2004-01,46.960,
2004-04,-620.549,
2004-07,-337.642,
2004-10,1009.105,
2005-01,1114.055,
2005-04,-562.327,
2005-07,326.804,
2005-10,76.089,
2006-01,418.063,
2006-04,-105.791,
2006-07,430.420,
2006-10,-163.965,
2007-01,378.674,
2007-04,567.051,
2007-07,-393.421,
2007-10,158.446,
2008-01,554.699,
2008-04,694.142,
2008-07,127.052,
2008-10,-579.917,
2009-01,-868.545,
2009-04,-336.939,
2009-07,-67.094,
2009-10,-206.988,
2010-01,-339.173,
2010-04,-90.479,
2010-07,-577.325,
2010-10,2219.058,
2011-01,-409.109,
2011-04,-633.182,
2011-07,-625.124,
2011-10,-1018.982,
2012-01,-424.432,
2012-04,-298.341,
2012-07,-305.561,
2012-10,-155.997,
2013-01,-268.246,
2013-04,2.583,
2013-07,76.343,
2013-10,-370.398,
2014-01,-326.615,Provisional value
2014-04,-168.941,Provisional value
2014-07,-71.903,Provisional value
2014-10,44.476,Provisional value
