"",BBK01.CEL3C0,BBK01.CEL3C0_FLAGS
"",Debt securities                                  debtor: General government                         creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:21,
1999-01,14.7,
1999-04,2.8,
1999-07,15.1,
1999-10,11.8,
2000-01,7.5,
2000-04,3.9,
2000-07,3.9,
2000-10,13.3,
2001-01,-19.2,
2001-04,7.5,
2001-07,17.4,
2001-10,16.3,
2002-01,15.1,
2002-04,22.8,
2002-07,24.0,
2002-10,4.4,
2003-01,33.0,
2003-04,12.1,
2003-07,7.7,
2003-10,20.0,
2004-01,33.8,
2004-04,15.0,
2004-07,15.8,
2004-10,4.9,
2005-01,17.1,
2005-04,21.4,
2005-07,14.1,
2005-10,17.4,
2006-01,12.0,
2006-04,19.8,
2006-07,10.9,
2006-10,10.3,
2007-01,-0.9,
2007-04,18.7,
2007-07,-11.7,
2007-10,24.5,
2008-01,-3.6,
2008-04,29.1,
2008-07,9.3,
2008-10,5.3,
2009-01,36.8,
2009-04,66.6,
2009-07,-1.5,
2009-10,16.0,
2010-01,24.2,
2010-04,18.0,
2010-07,22.1,
2010-10,31.3,
2011-01,22.3,
2011-04,34.0,
2011-07,14.7,
2011-10,-4.8,
2012-01,34.5,
2012-04,28.2,
2012-07,8.0,
2012-10,16.7,
2013-01,6.5,
2013-04,-5.4,
2013-07,-3.2,
2013-10,9.6,
2014-01,6.3,
2014-04,8.6,
2014-07,4.8,
