"",BBK01.CELF10,BBK01.CELF10_FLAGS
"",long-term loans                                            debtor: Nichtfinanzielle Kapitalges   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:47,
1999-01,7.4,
1999-04,11.2,
1999-07,18.9,
1999-10,18.8,
2000-01,-10.2,
2000-04,15.5,
2000-07,12.9,
2000-10,19.8,
2001-01,4.7,
2001-04,9.2,
2001-07,15.0,
2001-10,14.6,
2002-01,18.1,
2002-04,15.7,
2002-07,4.4,
2002-10,2.9,
2003-01,3.2,
2003-04,0.9,
2003-07,-8.4,
2003-10,-2.7,
2004-01,-5.2,
2004-04,-0.5,
2004-07,-11.8,
2004-10,2.3,
2005-01,-20.1,
2005-04,0.8,
2005-07,3.2,
2005-10,-7.7,
2006-01,14.0,
2006-04,6.3,
2006-07,14.5,
2006-10,-3.1,
2007-01,0.0,
2007-04,0.6,
2007-07,1.5,
2007-10,26.1,
2008-01,-15.7,
2008-04,4.3,
2008-07,8.0,
2008-10,6.1,
2009-01,15.1,
2009-04,11.1,
2009-07,3.5,
2009-10,6.0,
2010-01,-1.9,
2010-04,2.6,
2010-07,6.8,
2010-10,14.0,
2011-01,-24.1,
2011-04,4.8,
2011-07,6.3,
2011-10,20.2,
2012-01,-4.8,
2012-04,1.8,
2012-07,17.0,
2012-10,-13.7,
2013-01,-3.2,
2013-04,7.4,
2013-07,-15.0,
2013-10,3.0,
2014-01,1.9,
2014-04,14.4,
2014-07,-0.9,
