"",BBK01.OECI09I,BBK01.OECI09I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:13,
2002-01,0.140,
2002-04,0.136,
2002-07,0.134,
2002-10,0.135,
2003-01,0.124,
2003-04,0.123,
2003-07,0.120,
2003-10,0.119,
2004-01,0.118,
2004-04,0.117,
2004-07,0.107,
2004-10,0.108,
2005-01,0.135,
2005-04,0.132,
2005-07,0.127,
2005-10,0.125,
2006-01,0.117,
2006-04,0.126,
2006-07,0.141,
2006-10,0.164,
2007-01,0.185,
2007-04,0.201,
2007-07,0.219,
2007-10,0.238,
2008-01,0.256,
2008-04,0.275,
2008-07,0.282,
2008-10,0.355,
2009-01,0.348,
2009-04,0.350,
2009-07,0.353,
2009-10,0.294,
2010-01,0.268,
2010-04,0.262,
2010-07,0.241,
2010-10,0.249,
2011-01,0.258,
2011-04,0.263,
2011-07,0.268,
2011-10,0.266,
2012-01,0.265,
2012-04,0.255,
2012-07,0.231,
2012-10,0.202,
2013-01,0.177,
2013-04,0.160,
2013-07,0.146,
2013-10,0.142,
2014-01,0.139,
2014-04,0.134,
2014-07,0.142,
