"",BBK01.TQ7025,BBK01.TQ7025_FLAGS
"",Deposit takers - Net open position in equities to capital FSI-I023,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:36,
2005-10,1.09,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,1.27,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,.,No value available
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,0.35,
2009-01,0.95,
2009-04,0.69,
2009-07,0.55,
2009-10,0.57,
2010-01,0.28,
2010-04,0.41,
2010-07,0.40,
2010-10,0.84,
2011-01,1.05,
2011-04,0.58,
2011-07,0.53,
2011-10,0.44,
2012-01,0.41,
2012-04,0.35,
2012-07,0.34,
2012-10,0.26,
2013-01,0.43,
2013-04,0.32,
2013-07,0.40,
2013-10,0.39,
