"",BBK01.OEYB13K,BBK01.OEYB13K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:00,
2002-01,9.503,
2002-04,9.207,
2002-07,9.674,
2002-10,9.758,
2003-01,9.534,
2003-04,7.945,
2003-07,7.776,
2003-10,7.576,
2004-01,6.610,
2004-04,8.493,
2004-07,8.510,
2004-10,8.366,
2005-01,8.328,
2005-04,8.161,
2005-07,8.048,
2005-10,7.560,
2006-01,7.250,
2006-04,6.988,
2006-07,6.939,
2006-10,6.748,
2007-01,6.178,
2007-04,6.004,
2007-07,5.747,
2007-10,5.665,
2008-01,5.831,
2008-04,5.831,
2008-07,5.685,
2008-10,5.492,
2009-01,5.318,
2009-04,5.261,
2009-07,5.139,
2009-10,4.971,
2010-01,4.852,
2010-04,4.797,
2010-07,4.832,
2010-10,4.728,
2011-01,4.696,
2011-04,4.547,
2011-07,4.526,
2011-10,4.397,
2012-01,4.268,
2012-04,4.226,
2012-07,4.185,
2012-10,4.136,
2013-01,4.104,
2013-04,3.962,
2013-07,3.958,
2013-10,3.740,
2014-01,3.653,
2014-04,3.556,
2014-07,3.575,
