"",BBK01.OELO05L,BBK01.OELO05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:56,
2002-01,0.076,
2002-04,0.043,
2002-07,0.054,
2002-10,0.383,
2003-01,0.052,
2003-04,0.041,
2003-07,0.047,
2003-10,0.322,
2004-01,0.047,
2004-04,0.035,
2004-07,0.043,
2004-10,0.306,
2005-01,0.049,
2005-04,0.038,
2005-07,0.044,
2005-10,0.290,
2006-01,0.070,
2006-04,0.033,
2006-07,0.050,
2006-10,0.302,
2007-01,0.045,
2007-04,0.035,
2007-07,0.045,
2007-10,0.321,
2008-01,0.041,
2008-04,0.033,
2008-07,0.043,
2008-10,0.297,
2009-01,0.040,
2009-04,0.030,
2009-07,0.035,
2009-10,0.233,
2010-01,0.033,
2010-04,0.027,
2010-07,0.030,
2010-10,0.211,
2011-01,0.031,
2011-04,0.027,
2011-07,0.031,
2011-10,0.203,
2012-01,0.030,
2012-04,0.026,
2012-07,0.033,
2012-10,0.172,
2013-01,0.027,
2013-04,0.021,
2013-07,0.021,
2013-10,0.138,
2014-01,0.024,
2014-04,0.021,
2014-07,0.023,
