"",BBK01.QUF783,BBK01.QUF783_FLAGS
"",Foreign branches: Long-term loans and advances to non-residents / Malta / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:45:25,
2004-12,0.163,
2005-01,0.109,
2005-02,0.166,
2005-03,0.170,
2005-04,0.117,
2005-05,0.180,
2005-06,0.185,
2005-07,0.183,
2005-08,0.181,
2005-09,0.182,
2005-10,0.168,
2005-11,0.219,
2005-12,0.252,
2006-01,0.246,
2006-02,0.239,
2006-03,0.233,
2006-04,0.231,
2006-05,0.243,
2006-06,0.258,
2006-07,0.265,
2006-08,0.288,
2006-09,0.326,
2006-10,0.296,
2006-11,0.309,
2006-12,0.385,
2007-01,0.330,
2007-02,0.353,
2007-03,0.365,
2007-04,0.232,
2007-05,0.291,
2007-06,0.294,
2007-07,0.247,
2007-08,0.249,
2007-09,0.311,
2007-10,0.248,
2007-11,0.310,
2007-12,0.191,
2008-01,0.189,
2008-02,0.187,
2008-03,0.183,
2008-04,0.184,
2008-05,0.184,
2008-06,0.232,
2008-07,0.242,
2008-08,0.258,
2008-09,0.259,
2008-10,0.428,
2008-11,0.433,
2008-12,0.413,
2009-01,0.433,
2009-02,0.448,
2009-03,0.440,
2009-04,0.508,
2009-05,0.485,
2009-06,0.412,
2009-07,0.444,
2009-08,0.447,
2009-09,0.430,
2009-10,0.363,
2009-11,0.360,
2009-12,0.339,
2010-01,0.346,
2010-02,0.352,
2010-03,0.348,
2010-04,0.350,
2010-05,0.362,
2010-06,0.407,
2010-07,0.391,
2010-08,0.406,
2010-09,0.381,
2010-10,0.355,
2010-11,0.383,
2010-12,0.372,
2011-01,0.361,
2011-02,0.358,
2011-03,0.306,
2011-04,0.342,
2011-05,0.348,
2011-06,0.350,
2011-07,0.352,
2011-08,0.348,
2011-09,0.382,
2011-10,0.379,
2011-11,0.378,
2011-12,0.386,
2012-01,0.341,
2012-02,0.333,
2012-03,0.334,
2012-04,0.335,
2012-05,0.352,
2012-06,0.828,
2012-07,0.846,
2012-08,0.825,
2012-09,0.826,
2012-10,0.703,
2012-11,0.807,
2012-12,0.808,
2013-01,0.782,
2013-02,0.670,
2013-03,0.680,
2013-04,0.664,
2013-05,0.326,
2013-06,0.312,
2013-07,0.295,
2013-08,0.271,
2013-09,0.288,
2013-10,0.273,
2013-11,0.486,
2013-12,0.479,
2014-01,0.707,
2014-02,0.678,
2014-03,0.695,
2014-04,0.676,
2014-05,0.224,
2014-06,0.233,
2014-07,0.185,
2014-08,0.188,
2014-09,0.206,
2014-10,0.206,
2014-11,0.208,
