"",BBK01.OEAA38G,BBK01.OEAA38G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:35,
2002-01,13.513,
2002-04,14.558,
2002-07,14.672,
2002-10,14.877,
2003-01,14.799,
2003-04,15.017,
2003-07,15.288,
2003-10,15.633,
2004-01,15.486,
2004-04,16.275,
2004-07,16.620,
2004-10,17.321,
2005-01,15.478,
2005-04,15.643,
2005-07,15.763,
2005-10,15.576,
2006-01,15.207,
2006-04,14.922,
2006-07,14.863,
2006-10,14.047,
2007-01,13.739,
2007-04,13.429,
2007-07,13.285,
2007-10,12.786,
2008-01,12.467,
2008-04,12.295,
2008-07,11.923,
2008-10,11.656,
2009-01,11.535,
2009-04,11.494,
2009-07,11.615,
2009-10,11.453,
2010-01,11.180,
2010-04,11.046,
2010-07,11.088,
2010-10,10.965,
2011-01,11.245,
2011-04,11.314,
2011-07,11.449,
2011-10,11.357,
2012-01,11.331,
2012-04,11.363,
2012-07,11.370,
2012-10,11.295,
2013-01,11.053,
2013-04,11.026,
2013-07,11.122,
2013-10,10.978,
2014-01,10.832,
2014-04,10.581,
2014-07,10.539,
