"",BBK01.OEHB05R,BBK01.OEHB05R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:56,
2002-01,6.655,
2002-04,6.738,
2002-07,6.784,
2002-10,6.847,
2003-01,6.808,
2003-04,6.840,
2003-07,6.859,
2003-10,6.888,
2004-01,6.771,
2004-04,6.742,
2004-07,6.697,
2004-10,6.748,
2005-01,6.629,
2005-04,6.569,
2005-07,6.520,
2005-10,6.504,
2006-01,6.401,
2006-04,6.370,
2006-07,6.335,
2006-10,6.307,
2007-01,6.222,
2007-04,6.198,
2007-07,6.093,
2007-10,6.051,
2008-01,5.978,
2008-04,5.945,
2008-07,5.922,
2008-10,5.928,
2009-01,5.870,
2009-04,5.847,
2009-07,5.852,
2009-10,5.848,
2010-01,5.789,
2010-04,5.806,
2010-07,5.815,
2010-10,5.829,
2011-01,5.832,
2011-04,5.887,
2011-07,5.863,
2011-10,5.906,
2012-01,5.913,
2012-04,5.975,
2012-07,6.036,
2012-10,6.103,
2013-01,6.090,
2013-04,6.174,
2013-07,6.251,
2013-10,6.338,
2014-01,6.402,
2014-04,6.524,
2014-07,6.578,
