"",BBK01.OEYJ08G,BBK01.OEYJ08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:06:14,
2002-01,0.068,
2002-04,0.056,
2002-07,0.083,
2002-10,0.066,
2003-01,0.070,
2003-04,0.100,
2003-07,0.100,
2003-10,0.091,
2004-01,0.129,
2004-04,0.129,
2004-07,0.119,
2004-10,0.070,
2005-01,0.095,
2005-04,0.098,
2005-07,0.184,
2005-10,0.173,
2006-01,0.181,
2006-04,0.168,
2006-07,0.123,
2006-10,0.108,
2007-01,0.113,
2007-04,0.091,
2007-07,0.071,
2007-10,0.061,
2008-01,0.064,
2008-04,0.055,
2008-07,0.053,
2008-10,0.067,
2009-01,0.101,
2009-04,0.112,
2009-07,0.119,
2009-10,0.101,
2010-01,0.115,
2010-04,0.122,
2010-07,0.130,
2010-10,0.130,
2011-01,0.133,
2011-04,0.133,
2011-07,0.162,
2011-10,0.116,
2012-01,0.126,
2012-04,0.166,
2012-07,0.181,
2012-10,0.131,
2013-01,0.160,
2013-04,0.201,
2013-07,0.239,
2013-10,0.228,
2014-01,0.211,
2014-04,0.228,
2014-07,0.262,
