"",BBDE1.M.DE.Y.AEB5.A2Q400000.F.C.I10.A,BBDE1.M.DE.Y.AEB5.A2Q400000.F.C.I10.A_FLAGS
"",Orders received from abroad / At constant prices / Germany / Manufacturing excluding 30 Manufacture of other transport equipment / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:21,
1991-01,50.1,
1991-02,47.3,
1991-03,47.5,
1991-04,48.5,
1991-05,47.1,
1991-06,48.0,
1991-07,47.2,
1991-08,52.8,
1991-09,47.7,
1991-10,49.6,
1991-11,49.8,
1991-12,50.5,
1992-01,48.8,
1992-02,49.1,
1992-03,49.6,
1992-04,47.1,
1992-05,47.0,
1992-06,46.1,
1992-07,45.9,
1992-08,45.9,
1992-09,45.4,
1992-10,42.0,
1992-11,43.8,
1992-12,43.5,
1993-01,43.5,
1993-02,43.9,
1993-03,43.1,
1993-04,43.6,
1993-05,42.9,
1993-06,43.2,
1993-07,43.9,
1993-08,43.7,
1993-09,45.5,
1993-10,45.1,
1993-11,45.8,
1993-12,47.2,
1994-01,44.9,
1994-02,47.1,
1994-03,49.8,
1994-04,48.7,
1994-05,48.3,
1994-06,50.7,
1994-07,48.4,
1994-08,48.3,
1994-09,51.5,
1994-10,52.8,
1994-11,52.7,
1994-12,54.5,
1995-01,50.9,
1995-02,52.1,
1995-03,51.1,
1995-04,50.0,
1995-05,50.3,
1995-06,49.6,
1995-07,50.7,
1995-08,48.6,
1995-09,50.9,
1995-10,49.2,
1995-11,47.7,
1995-12,50.5,
1996-01,49.9,
1996-02,50.5,
1996-03,51.6,
1996-04,51.9,
1996-05,53.1,
1996-06,51.8,
1996-07,52.8,
1996-08,53.8,
1996-09,52.9,
1996-10,55.8,
1996-11,55.3,
1996-12,54.6,
1997-01,56.8,
1997-02,56.6,
1997-03,58.6,
1997-04,59.2,
1997-05,57.8,
1997-06,59.9,
1997-07,59.8,
1997-08,60.5,
1997-09,62.9,
1997-10,61.0,
1997-11,60.4,
1997-12,61.2,
1998-01,61.8,
1998-02,60.9,
1998-03,60.8,
1998-04,62.6,
1998-05,60.1,
1998-06,61.6,
1998-07,61.2,
1998-08,59.9,
1998-09,61.3,
1998-10,58.2,
1998-11,58.2,
1998-12,62.3,
1999-01,59.1,
1999-02,60.7,
1999-03,61.2,
1999-04,62.4,
1999-05,63.2,
1999-06,63.3,
1999-07,66.1,
1999-08,69.7,
1999-09,67.9,
1999-10,68.4,
1999-11,69.6,
1999-12,70.1,
2000-01,67.9,
2000-02,72.3,
2000-03,74.5,
2000-04,73.1,
2000-05,75.4,
2000-06,77.0,
2000-07,77.8,
2000-08,80.6,
2000-09,80.1,
2000-10,79.8,
2000-11,78.4,
2000-12,79.5,
2001-01,76.6,
2001-02,77.2,
2001-03,76.3,
2001-04,73.9,
2001-05,78.8,
2001-06,77.4,
2001-07,75.1,
2001-08,76.2,
2001-09,73.3,
2001-10,73.7,
2001-11,73.5,
2001-12,77.6,
2002-01,75.3,
2002-02,76.1,
2002-03,77.9,
2002-04,78.3,
2002-05,80.9,
2002-06,79.0,
2002-07,77.6,
2002-08,81.1,
2002-09,79.7,
2002-10,77.5,
2002-11,81.4,
2002-12,76.1,
2003-01,80.3,
2003-02,78.4,
2003-03,77.9,
2003-04,77.3,
2003-05,75.2,
2003-06,77.3,
2003-07,78.7,
2003-08,79.7,
2003-09,80.3,
2003-10,81.3,
2003-11,81.3,
2003-12,85.5,
2004-01,82.2,
2004-02,83.1,
2004-03,85.1,
2004-04,87.0,
2004-05,89.0,
2004-06,86.3,
2004-07,88.1,
2004-08,85.5,
2004-09,86.9,
2004-10,83.8,
2004-11,84.5,
2004-12,89.3,
2005-01,89.1,
2005-02,87.1,
2005-03,88.8,
2005-04,88.5,
2005-05,88.8,
2005-06,92.6,
2005-07,93.6,
2005-08,92.6,
2005-09,95.0,
2005-10,98.1,
2005-11,99.3,
2005-12,96.8,
2006-01,101.4,
2006-02,99.4,
2006-03,100.4,
2006-04,103.2,
2006-05,102.5,
2006-06,102.1,
2006-07,103.0,
2006-08,104.5,
2006-09,103.5,
2006-10,106.4,
2006-11,106.4,
2006-12,105.2,
2007-01,109.3,
2007-02,113.2,
2007-03,113.1,
2007-04,109.0,
2007-05,114.0,
2007-06,116.8,
2007-07,114.6,
2007-08,114.4,
2007-09,113.9,
2007-10,119.7,
2007-11,117.8,
2007-12,119.1,
2008-01,115.7,
2008-02,115.5,
2008-03,114.9,
2008-04,115.7,
2008-05,109.8,
2008-06,108.0,
2008-07,104.5,
2008-08,109.0,
2008-09,101.1,
2008-10,94.2,
2008-11,87.3,
2008-12,77.9,
2009-01,70.7,
2009-02,69.3,
2009-03,73.0,
2009-04,73.1,
2009-05,76.0,
2009-06,80.9,
2009-07,80.7,
2009-08,84.0,
2009-09,88.3,
2009-10,86.3,
2009-11,89.4,
2009-12,87.6,
2010-01,90.0,
2010-02,92.0,
2010-03,93.7,
2010-04,98.7,
2010-05,99.3,
2010-06,99.1,
2010-07,101.3,
2010-08,102.8,
2010-09,101.6,
2010-10,102.5,
2010-11,108.9,
2010-12,106.9,
2011-01,109.8,
2011-02,109.6,
2011-03,108.2,
2011-04,106.2,
2011-05,105.4,
2011-06,109.9,
2011-07,107.6,
2011-08,106.6,
2011-09,104.7,
2011-10,105.1,
2011-11,101.9,
2011-12,105.0,
2012-01,103.5,
2012-02,104.9,
2012-03,105.3,
2012-04,104.6,
2012-05,106.9,
2012-06,104.9,
2012-07,106.3,
2012-08,105.6,
2012-09,103.9,
2012-10,105.8,
2012-11,104.1,
2012-12,106.6,
2013-01,102.6,
2013-02,103.3,
2013-03,107.0,
2013-04,105.9,
2013-05,108.5,
2013-06,109.2,
2013-07,105.4,
2013-08,109.7,
2013-09,108.3,
2013-10,108.6,
2013-11,109.6,
2013-12,113.0,
2014-01,112.1,
2014-02,110.3,
2014-03,110.3,
2014-04,109.3,
2014-05,106.7,
2014-06,111.1,
2014-07,111.7,
2014-08,110.6,
2014-09,114.9,
2014-10,115.9,
2014-11,114.3,
2014-12,118.2,Provisional value
