"",BBFN1.M.DE.N.1.A.CL.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CL.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Chile,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:58,
1994-07,0.120,
1994-08,0.132,
1994-09,0.142,
1994-10,0.150,
1994-11,0.170,
1994-12,0.169,
1995-01,0.155,
1995-02,0.154,
1995-03,0.157,
1995-04,0.167,
1995-05,0.166,
1995-06,0.175,
1995-07,0.171,
1995-08,0.178,
1995-09,0.194,
1995-10,0.180,
1995-11,0.180,
1995-12,0.179,
1996-01,0.178,
1996-02,0.166,
1996-03,0.170,
1996-04,0.177,
1996-05,0.176,
1996-06,0.176,
1996-07,0.178,
1996-08,0.172,
1996-09,0.170,
1996-10,0.174,
1996-11,0.169,
1996-12,0.175,
1997-01,0.173,
1997-02,0.177,
1997-03,0.189,
1997-04,0.199,
1997-05,0.207,
1997-06,0.201,
1997-07,0.216,
1997-08,0.217,
1997-09,0.230,
1997-10,0.232,
1997-11,0.242,
1997-12,0.246,
1998-01,0.217,
1998-02,0.212,
1998-03,0.225,
1998-04,0.227,
1998-05,0.223,
1998-06,0.227,
1998-07,0.226,
1998-08,0.233,
1998-09,0.239,
1998-10,0.245,
1998-11,0.232,
1998-12,0.235,
1999-01,0.219,
1999-02,0.223,
1999-03,0.250,
1999-04,0.264,
1999-05,0.222,
1999-06,0.270,
1999-07,0.272,
1999-08,0.258,
1999-09,0.238,
1999-10,0.238,
1999-11,0.275,
1999-12,0.254,
2000-01,0.263,
2000-02,0.259,
2000-03,0.252,
2000-04,0.257,
2000-05,0.255,
2000-06,0.276,
2000-07,0.297,
2000-08,0.294,
2000-09,0.298,
2000-10,0.303,
2000-11,0.301,
2000-12,0.302,
2001-01,0.291,
2001-02,0.309,
2001-03,0.318,
2001-04,0.309,
2001-05,0.312,
2001-06,0.317,
2001-07,0.318,
2001-08,0.320,
2001-09,0.332,
2001-10,0.327,
2001-11,0.328,
2001-12,0.320,
2002-01,0.300,
2002-02,0.314,
2002-03,0.303,
2002-04,0.332,
2002-05,0.301,
2002-06,0.311,
2002-07,0.309,
2002-08,0.312,
2002-09,0.315,
2002-10,0.307,
2002-11,0.279,
2002-12,0.275,
2003-01,0.258,
2003-02,0.270,
2003-03,0.251,
2003-04,0.321,
2003-05,0.246,
2003-06,0.255,
2003-07,0.253,
2003-08,0.244,
2003-09,0.248,
2003-10,0.235,
2003-11,0.239,
2003-12,0.236,
2004-01,0.223,
2004-02,0.217,
2004-03,0.216,
2004-04,0.225,
2004-05,0.229,
2004-06,0.219,
2004-07,0.297,
2004-08,0.238,
2004-09,0.240,
2004-10,0.241,
2004-11,0.237,
2004-12,0.230,
2005-01,0.232,
2005-02,0.245,
2005-03,0.239,
2005-04,0.238,
2005-05,0.228,
2005-06,0.239,
2005-07,0.235,
2005-08,0.250,
2005-09,0.236,
2005-10,0.245,
2005-11,0.266,
2005-12,0.259,
2006-01,0.254,
2006-02,0.261,
2006-03,0.269,
2006-04,0.270,
2006-05,0.258,
2006-06,0.270,
2006-07,0.262,
2006-08,0.256,
2006-09,0.264,
2006-10,0.250,
2006-11,0.265,
2006-12,0.261,
2007-01,0.274,
2007-02,0.286,
2007-03,0.287,
2007-04,0.276,
2007-05,0.269,
2007-06,0.260,
2007-07,0.283,
2007-08,0.279,
2007-09,0.282,
2007-10,0.276,
2007-11,0.295,
2007-12,0.290,
2008-01,0.283,
2008-02,0.312,
2008-03,0.285,
2008-04,0.304,
2008-05,0.309,
2008-06,0.326,
2008-07,0.331,
2008-08,0.319,
2008-09,0.344,
2008-10,0.353,
2008-11,0.361,
2008-12,0.355,
2009-01,0.315,
2009-02,0.300,
2009-03,0.283,
2009-04,0.265,
2009-05,0.264,
2009-06,0.233,
2009-07,0.240,
2009-08,0.252,
2009-09,0.266,
2009-10,0.257,
2009-11,0.266,
2009-12,0.264,
2010-01,0.246,
2010-02,0.278,
2010-03,0.281,
2010-04,0.307,
2010-05,0.320,
2010-06,0.347,
2010-07,0.367,
2010-08,0.323,
2010-09,0.349,
2010-10,0.342,
2010-11,0.366,
2010-12,0.327,
2011-01,0.327,
2011-02,0.343,
2011-03,0.389,
2011-04,0.372,
2011-05,0.359,
2011-06,0.368,
2011-07,0.382,
2011-08,0.377,
2011-09,0.401,
2011-10,0.393,
2011-11,0.381,
2011-12,0.396,
2012-01,0.366,
2012-02,0.383,
2012-03,0.408,
2012-04,0.409,
2012-05,0.434,
2012-06,0.461,
2012-07,0.490,
2012-08,0.534,
2012-09,0.535,
2012-10,0.520,
2012-11,0.502,
2012-12,0.502,
2013-01,0.475,
2013-02,0.455,
2013-03,0.480,
2013-04,0.499,
2013-05,0.482,
2013-06,0.496,
2013-07,0.514,
2013-08,0.542,
2013-09,0.502,
2013-10,0.482,
2013-11,0.503,
2013-12,0.463,
2014-01,0.470,
2014-02,0.517,
2014-03,0.526,
2014-04,0.489,
2014-05,0.444,
2014-06,0.453,
2014-07,0.461,
2014-08,0.502,
2014-09,0.517,
2014-10,0.538,
2014-11,0.512,
2014-12,0.556,
