"",BBNZ1.Q.DE.Y.H.0110.A,BBNZ1.Q.DE.Y.H.0110.A_FLAGS
"",Germany / National accounts / Use of GDP / Exports of goods and services / Chain-linked index / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:37:52,
1991-01,37.87,
1991-04,35.88,
1991-07,37.29,
1991-10,37.39,
1992-01,37.85,
1992-04,36.26,
1992-07,37.06,
1992-10,35.46,
1993-01,34.73,
1993-04,34.15,
1993-07,34.09,
1993-10,34.83,
1994-01,35.90,
1994-04,37.72,
1994-07,37.40,
1994-10,37.71,
1995-01,39.13,
1995-04,39.58,
1995-07,39.73,
1995-10,40.48,
1996-01,40.98,
1996-04,41.20,
1996-07,42.17,
1996-10,44.19,
1997-01,44.86,
1997-04,46.32,
1997-07,48.73,
1997-10,49.53,
1998-01,50.52,
1998-04,51.37,
1998-07,50.87,
1998-10,50.16,
1999-01,50.36,
1999-04,53.01,
1999-07,54.26,
1999-10,55.46,
2000-01,58.07,
2000-04,60.16,
2000-07,61.26,
2000-10,64.46,
2001-01,64.38,
2001-04,64.61,
2001-07,64.57,
2001-10,65.27,
2002-01,65.09,
2002-04,67.09,
2002-07,68.27,
2002-10,69.39,
2003-01,67.40,
2003-04,67.14,
2003-07,69.25,
2003-10,70.93,
2004-01,73.83,
2004-04,77.09,
2004-07,75.80,
2004-10,76.46,
2005-01,78.05,
2005-04,79.48,
2005-07,82.61,
2005-10,84.17,
2006-01,86.83,
2006-04,89.51,
2006-07,92.03,
2006-10,97.39,
2007-01,97.35,
2007-04,99.76,
2007-07,101.66,
2007-10,102.31,
2008-01,103.81,
2008-04,103.57,
2008-07,102.54,
2008-10,96.46,
2009-01,85.50,
2009-04,84.77,
2009-07,87.78,
2009-10,90.37,
2010-01,93.10,
2010-04,99.68,
2010-07,101.31,
2010-10,103.73,
2011-01,105.85,
2011-04,107.40,
2011-07,108.50,
2011-10,108.55,
2012-01,110.28,
2012-04,111.65,
2012-07,112.79,
2012-10,110.44,
2013-01,111.20,
2013-04,112.77,
2013-07,113.52,
2013-10,115.44,
2014-01,115.02,
2014-04,116.22,
2014-07,118.58,
2014-10,120.17,
