"",BBK01.OEAA29Q,BBK01.OEAA29Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:21,
2002-01,18.951,
2002-04,18.856,
2002-07,18.267,
2002-10,18.222,
2003-01,18.030,
2003-04,20.329,
2003-07,20.200,
2003-10,20.159,
2004-01,19.894,
2004-04,17.375,
2004-07,17.151,
2004-10,17.019,
2005-01,16.757,
2005-04,16.773,
2005-07,16.729,
2005-10,16.525,
2006-01,16.360,
2006-04,16.766,
2006-07,16.273,
2006-10,16.066,
2007-01,16.275,
2007-04,15.106,
2007-07,13.451,
2007-10,13.402,
2008-01,13.297,
2008-04,13.260,
2008-07,13.331,
2008-10,13.289,
2009-01,13.164,
2009-04,13.556,
2009-07,13.653,
2009-10,13.935,
2010-01,13.903,
2010-04,14.113,
2010-07,14.312,
2010-10,14.268,
2011-01,14.065,
2011-04,14.064,
2011-07,13.959,
2011-10,14.450,
2012-01,14.456,
2012-04,14.942,
2012-07,14.985,
2012-10,15.016,
2013-01,15.019,
2013-04,14.944,
2013-07,14.989,
2013-10,15.047,
2014-01,15.041,
2014-04,15.083,
2014-07,15.136,
