"",BBK01.OEYL02M,BBK01.OEYL02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:02,
2002-01,1.542,
2002-04,1.610,
2002-07,1.580,
2002-10,1.744,
2003-01,1.780,
2003-04,1.779,
2003-07,1.785,
2003-10,1.849,
2004-01,1.827,
2004-04,1.837,
2004-07,1.856,
2004-10,1.863,
2005-01,1.822,
2005-04,1.875,
2005-07,1.901,
2005-10,1.943,
2006-01,1.930,
2006-04,1.939,
2006-07,1.971,
2006-10,2.099,
2007-01,2.127,
2007-04,2.166,
2007-07,2.179,
2007-10,2.249,
2008-01,2.141,
2008-04,2.221,
2008-07,2.135,
2008-10,2.246,
2009-01,2.424,
2009-04,2.390,
2009-07,2.481,
2009-10,2.735,
2010-01,2.609,
2010-04,2.655,
2010-07,2.608,
2010-10,2.814,
2011-01,2.621,
2011-04,2.592,
2011-07,2.536,
2011-10,2.685,
2012-01,2.598,
2012-04,2.818,
2012-07,3.079,
2012-10,3.300,
2013-01,2.638,
2013-04,2.800,
2013-07,2.694,
2013-10,2.817,
2014-01,3.241,
2014-04,2.851,
2014-07,3.904,
