"",BBK01.OEXI04U,BBK01.OEXI04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:52,
2002-01,0.620,
2002-04,0.576,
2002-07,0.587,
2002-10,0.556,
2003-01,0.504,
2003-04,0.486,
2003-07,0.534,
2003-10,0.511,
2004-01,0.499,
2004-04,0.373,
2004-07,0.390,
2004-10,0.334,
2005-01,0.303,
2005-04,0.322,
2005-07,0.360,
2005-10,0.327,
2006-01,0.378,
2006-04,0.387,
2006-07,0.500,
2006-10,0.649,
2007-01,0.736,
2007-04,0.795,
2007-07,0.870,
2007-10,0.888,
2008-01,0.914,
2008-04,1.001,
2008-07,1.027,
2008-10,0.837,
2009-01,0.317,
2009-04,0.225,
2009-07,0.191,
2009-10,0.119,
2010-01,0.141,
2010-04,0.157,
2010-07,0.132,
2010-10,0.134,
2011-01,0.184,
2011-04,0.235,
2011-07,0.283,
2011-10,0.697,
2012-01,0.820,
2012-04,0.934,
2012-07,1.007,
2012-10,1.011,
2013-01,0.993,
2013-04,0.980,
2013-07,0.962,
2013-10,0.837,
2014-01,1.076,
2014-04,1.038,
2014-07,0.800,
