"",BBK01.OEYB17I,BBK01.OEYB17I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:44,
2002-01,9.113,
2002-04,8.907,
2002-07,8.318,
2002-10,8.333,
2003-01,8.324,
2003-04,8.211,
2003-07,10.374,
2003-10,9.939,
2004-01,10.050,
2004-04,9.921,
2004-07,10.708,
2004-10,10.533,
2005-01,10.465,
2005-04,10.311,
2005-07,10.588,
2005-10,10.383,
2006-01,10.269,
2006-04,10.341,
2006-07,10.738,
2006-10,8.895,
2007-01,8.690,
2007-04,8.330,
2007-07,8.126,
2007-10,7.900,
2008-01,7.747,
2008-04,8.248,
2008-07,8.078,
2008-10,8.019,
2009-01,7.725,
2009-04,7.809,
2009-07,7.810,
2009-10,7.740,
2010-01,7.534,
2010-04,7.867,
2010-07,7.489,
2010-10,7.324,
2011-01,7.196,
2011-04,6.983,
2011-07,6.861,
2011-10,6.726,
2012-01,6.559,
2012-04,6.428,
2012-07,6.160,
2012-10,5.999,
2013-01,5.672,
2013-04,5.588,
2013-07,5.472,
2013-10,5.525,
2014-01,5.209,
2014-04,5.122,
2014-07,5.101,
