"",BBK01.OEAF03O,BBK01.OEAF03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:53,
2002-01,39.198,
2002-04,39.582,
2002-07,40.195,
2002-10,40.761,
2003-01,40.921,
2003-04,41.851,
2003-07,38.730,
2003-10,39.888,
2004-01,40.254,
2004-04,41.098,
2004-07,41.501,
2004-10,41.642,
2005-01,42.468,
2005-04,42.770,
2005-07,42.785,
2005-10,43.319,
2006-01,43.655,
2006-04,43.962,
2006-07,44.439,
2006-10,44.585,
2007-01,44.709,
2007-04,44.994,
2007-07,45.126,
2007-10,44.738,
2008-01,44.590,
2008-04,44.624,
2008-07,44.725,
2008-10,44.525,
2009-01,44.217,
2009-04,44.831,
2009-07,45.003,
2009-10,44.313,
2010-01,43.501,
2010-04,42.503,
2010-07,44.000,
2010-10,44.453,
2011-01,44.329,
2011-04,44.377,
2011-07,44.583,
2011-10,44.718,
2012-01,45.013,
2012-04,45.067,
2012-07,45.455,
2012-10,45.761,
2013-01,45.681,
2013-04,46.266,
2013-07,46.667,
2013-10,46.821,
2014-01,47.181,
2014-04,47.350,
2014-07,47.745,
