"",BBK01.OEHO03G,BBK01.OEHO03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:38,
2002-01,4.723,
2002-04,3.794,
2002-07,3.518,
2002-10,4.210,
2003-01,4.335,
2003-04,3.512,
2003-07,3.354,
2003-10,3.724,
2004-01,4.023,
2004-04,3.430,
2004-07,3.430,
2004-10,4.152,
2005-01,4.162,
2005-04,4.030,
2005-07,3.976,
2005-10,4.142,
2006-01,4.472,
2006-04,4.365,
2006-07,4.165,
2006-10,5.460,
2007-01,5.504,
2007-04,4.866,
2007-07,4.621,
2007-10,5.514,
2008-01,5.310,
2008-04,4.546,
2008-07,4.670,
2008-10,5.064,
2009-01,3.722,
2009-04,3.989,
2009-07,4.028,
2009-10,4.183,
2010-01,3.779,
2010-04,3.443,
2010-07,3.181,
2010-10,3.927,
2011-01,3.578,
2011-04,3.576,
2011-07,3.863,
2011-10,3.833,
2012-01,3.930,
2012-04,3.779,
2012-07,3.889,
2012-10,4.266,
2013-01,3.987,
2013-04,3.450,
2013-07,3.046,
2013-10,2.986,
2014-01,3.002,
2014-04,3.123,
2014-07,2.956,
