"",BBK01.OELI01V,BBK01.OELI01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:31,
2002-01,7.365,
2002-04,7.284,
2002-07,7.543,
2002-10,7.772,
2003-01,7.676,
2003-04,7.552,
2003-07,7.624,
2003-10,7.787,
2004-01,7.594,
2004-04,7.356,
2004-07,7.536,
2004-10,7.968,
2005-01,7.846,
2005-04,7.781,
2005-07,7.779,
2005-10,8.102,
2006-01,7.946,
2006-04,7.949,
2006-07,7.984,
2006-10,8.056,
2007-01,7.937,
2007-04,8.015,
2007-07,8.158,
2007-10,8.453,
2008-01,8.383,
2008-04,8.411,
2008-07,8.449,
2008-10,8.878,
2009-01,8.706,
2009-04,8.731,
2009-07,8.905,
2009-10,9.217,
2010-01,9.187,
2010-04,9.197,
2010-07,9.399,
2010-10,9.348,
2011-01,9.171,
2011-04,9.599,
2011-07,9.589,
2011-10,9.825,
2012-01,9.709,
2012-04,9.747,
2012-07,10.005,
2012-10,10.232,
2013-01,10.338,
2013-04,10.589,
2013-07,10.902,
2013-10,11.192,
2014-01,11.239,
2014-04,11.333,
2014-07,11.707,
