"",BBK01.OEAC19Q,BBK01.OEAC19Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:42,
2002-01,0.771,
2002-04,0.748,
2002-07,0.699,
2002-10,0.644,
2003-01,0.641,
2003-04,0.636,
2003-07,0.613,
2003-10,0.548,
2004-01,0.583,
2004-04,0.532,
2004-07,0.516,
2004-10,0.440,
2005-01,0.471,
2005-04,0.444,
2005-07,0.394,
2005-10,0.353,
2006-01,0.395,
2006-04,0.426,
2006-07,0.431,
2006-10,0.330,
2007-01,0.431,
2007-04,0.465,
2007-07,0.430,
2007-10,0.364,
2008-01,0.396,
2008-04,0.379,
2008-07,0.366,
2008-10,0.324,
2009-01,0.602,
2009-04,0.544,
2009-07,0.526,
2009-10,0.498,
2010-01,0.525,
2010-04,0.524,
2010-07,0.515,
2010-10,0.586,
2011-01,0.501,
2011-04,0.476,
2011-07,0.437,
2011-10,0.383,
2012-01,0.448,
2012-04,0.452,
2012-07,0.424,
2012-10,0.429,
2013-01,0.479,
2013-04,0.500,
2013-07,0.469,
2013-10,0.484,
2014-01,0.497,
2014-04,0.529,
2014-07,0.559,
