"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.JP.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.JP.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Japan / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:12,
2009-09,675,
2009-10,599,
2009-11,585,
2009-12,572,
2010-01,574,
2010-02,545,
2010-03,497,
2010-04,437,
2010-05,456,
2010-06,431,
2010-07,400,
2010-08,398,
2010-09,409,
2010-10,394,
2010-11,386,
2010-12,321,
2011-01,297,
2011-02,292,
2011-03,276,
2011-04,260,
2011-05,277,
2011-06,313,
2011-07,341,
2011-08,339,
2011-09,354,
2011-10,334,
2011-11,346,
2011-12,366,
2012-01,369,
2012-02,299,
2012-03,298,
2012-04,313,
2012-05,216,
2012-06,205,
2012-07,212,
2012-08,220,
2012-09,203,
2012-10,205,
2012-11,205,
2012-12,184,
2013-01,164,
2013-02,174,
2013-03,199,
2013-04,236,
2013-05,238,
2013-06,239,
2013-07,318,
2013-08,324,
2013-09,360,
2013-10,374,
2013-11,348,
2013-12,434,
2014-01,464,
2014-02,472,
2014-03,509,
2014-04,523,
2014-05,484,
2014-06,469,
2014-07,478,
2014-08,478,
2014-09,493,
2014-10,507,
2014-11,498,
