"",BBK01.OEHB10Q,BBK01.OEHB10Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:48,
2002-01,1.543,
2002-04,1.596,
2002-07,1.563,
2002-10,1.566,
2003-01,1.482,
2003-04,1.537,
2003-07,1.621,
2003-10,1.436,
2004-01,1.424,
2004-04,1.379,
2004-07,1.291,
2004-10,1.223,
2005-01,1.319,
2005-04,1.356,
2005-07,1.351,
2005-10,1.287,
2006-01,1.361,
2006-04,1.402,
2006-07,1.306,
2006-10,1.241,
2007-01,1.300,
2007-04,1.295,
2007-07,1.304,
2007-10,1.423,
2008-01,1.515,
2008-04,1.548,
2008-07,1.499,
2008-10,1.519,
2009-01,1.588,
2009-04,1.594,
2009-07,1.518,
2009-10,1.483,
2010-01,1.435,
2010-04,1.507,
2010-07,1.341,
2010-10,1.261,
2011-01,1.236,
2011-04,1.253,
2011-07,1.201,
2011-10,1.093,
2012-01,1.140,
2012-04,1.156,
2012-07,1.139,
2012-10,1.174,
2013-01,1.234,
2013-04,1.250,
2013-07,1.270,
2013-10,1.269,
2014-01,1.307,
2014-04,1.315,
2014-07,1.335,
