"",BBK01.OEBB03I,BBK01.OEBB03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:49,
2002-01,3.202,
2002-04,3.248,
2002-07,3.259,
2002-10,2.988,
2003-01,2.755,
2003-04,3.218,
2003-07,2.299,
2003-10,2.225,
2004-01,2.141,
2004-04,2.069,
2004-07,2.006,
2004-10,2.304,
2005-01,2.611,
2005-04,2.684,
2005-07,2.783,
2005-10,2.449,
2006-01,2.444,
2006-04,2.647,
2006-07,2.386,
2006-10,2.388,
2007-01,2.352,
2007-04,2.387,
2007-07,2.461,
2007-10,2.282,
2008-01,2.375,
2008-04,2.750,
2008-07,3.073,
2008-10,3.273,
2009-01,3.286,
2009-04,3.206,
2009-07,3.195,
2009-10,3.273,
2010-01,3.291,
2010-04,3.290,
2010-07,3.439,
2010-10,3.382,
2011-01,3.279,
2011-04,3.273,
2011-07,3.315,
2011-10,3.873,
2012-01,3.854,
2012-04,2.984,
2012-07,3.046,
2012-10,2.839,
2013-01,2.848,
2013-04,3.314,
2013-07,3.317,
2013-10,3.086,
2014-01,2.798,
2014-04,2.421,
2014-07,2.404,
