"",BBK01.OEAC54J,BBK01.OEAC54J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:26,
2002-01,4.073,
2002-04,4.100,
2002-07,4.153,
2002-10,4.311,
2003-01,4.308,
2003-04,4.288,
2003-07,4.255,
2003-10,4.259,
2004-01,4.243,
2004-04,4.259,
2004-07,4.274,
2004-10,4.379,
2005-01,4.498,
2005-04,4.568,
2005-07,4.554,
2005-10,4.647,
2006-01,4.643,
2006-04,4.749,
2006-07,4.659,
2006-10,4.639,
2007-01,4.658,
2007-04,4.688,
2007-07,4.680,
2007-10,4.637,
2008-01,4.618,
2008-04,4.466,
2008-07,4.087,
2008-10,3.972,
2009-01,3.859,
2009-04,3.938,
2009-07,3.876,
2009-10,4.049,
2010-01,6.505,
2010-04,4.108,
2010-07,4.123,
2010-10,4.172,
2011-01,4.140,
2011-04,4.272,
2011-07,3.993,
2011-10,3.973,
2012-01,3.983,
2012-04,4.675,
2012-07,4.708,
2012-10,4.641,
2013-01,4.635,
2013-04,4.755,
2013-07,4.789,
2013-10,4.795,
2014-01,4.904,
2014-04,4.901,
2014-07,4.928,
