"",BBSF2.M.1.T.00000.HED01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.T.00000.HED01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Funds total / Hedgefunds / Securities total / World not allocated (geographically) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:09,
2009-09,482,
2009-10,495,
2009-11,504,
2009-12,506,
2010-01,526,
2010-02,529,
2010-03,535,
2010-04,7263,
2010-05,3925,
2010-06,606,
2010-07,521,
2010-08,515,
2010-09,523,
2010-10,535,
2010-11,539,
2010-12,541,
2011-01,569,
2011-02,581,
2011-03,561,
2011-04,608,
2011-05,617,
2011-06,583,
2011-07,548,
2011-08,545,
2011-09,533,
2011-10,581,
2011-11,557,
2011-12,552,
2012-01,606,
2012-02,638,
2012-03,938,
2012-04,2499,
2012-05,1527,
2012-06,1217,
2012-07,742,
2012-08,733,
2012-09,742,
2012-10,849,
2012-11,746,
2012-12,765,
2013-01,784,
2013-02,811,
2013-03,847,
2013-04,1646,
2013-05,897,
2013-06,882,
2013-07,917,
2013-08,890,
2013-09,913,
2013-10,957,
2013-11,976,
2013-12,964,
2014-01,983,
2014-02,1003,
2014-03,1020,
2014-04,3910,
2014-05,1098,
2014-06,1089,
2014-07,1085,
2014-08,1095,
2014-09,1078,
2014-10,1093,
2014-11,1122,
