"",BBK01.OEYI03G,BBK01.OEYI03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:47,
2002-01,119.024,
2002-04,116.114,
2002-07,117.132,
2002-10,116.086,
2003-01,116.280,
2003-04,113.138,
2003-07,116.669,
2003-10,116.373,
2004-01,115.252,
2004-04,114.249,
2004-07,112.232,
2004-10,114.172,
2005-01,115.868,
2005-04,117.788,
2005-07,123.057,
2005-10,126.659,
2006-01,126.343,
2006-04,123.884,
2006-07,127.583,
2006-10,129.094,
2007-01,129.248,
2007-04,132.804,
2007-07,134.992,
2007-10,138.756,
2008-01,130.241,
2008-04,139.308,
2008-07,154.634,
2008-10,146.972,
2009-01,150.128,
2009-04,156.975,
2009-07,155.289,
2009-10,158.037,
2010-01,149.799,
2010-04,151.450,
2010-07,157.045,
2010-10,152.857,
2011-01,162.822,
2011-04,159.208,
2011-07,154.709,
2011-10,150.618,
2012-01,148.999,
2012-04,150.087,
2012-07,146.156,
2012-10,142.821,
2013-01,137.767,
2013-04,131.880,
2013-07,127.310,
2013-10,130.642,
2014-01,128.744,
2014-04,129.217,
2014-07,130.119,
