"",BBK01.CELN05,BBK01.CELN05_FLAGS
"",Transferable deposits                                                     debtor: Total            creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:10,
1999-01,0.2,
1999-04,0.2,
1999-07,0.4,
1999-10,0.3,
2000-01,0.0,
2000-04,0.2,
2000-07,0.0,
2000-10,0.1,
2001-01,0.1,
2001-04,-0.1,
2001-07,0.1,
2001-10,0.0,
2002-01,-0.1,
2002-04,-0.1,
2002-07,-0.1,
2002-10,-0.1,
2003-01,0.2,
2003-04,0.1,
2003-07,0.2,
2003-10,0.1,
2004-01,0.8,
2004-04,-2.3,
2004-07,4.4,
2004-10,-2.0,
2005-01,12.7,
2005-04,0.6,
2005-07,8.1,
2005-10,-11.5,
2006-01,22.2,
2006-04,-1.9,
2006-07,3.9,
2006-10,-16.5,
2007-01,13.2,
2007-04,-2.3,
2007-07,4.6,
2007-10,-10.1,
2008-01,17.9,
2008-04,13.8,
2008-07,-2.3,
2008-10,-10.5,
2009-01,25.0,
2009-04,-0.1,
2009-07,-1.1,
2009-10,-6.7,
2010-01,3.7,
2010-04,14.3,
2010-07,-9.9,
2010-10,-7.2,
2011-01,10.2,
2011-04,0.8,
2011-07,6.3,
2011-10,-7.9,
2012-01,7.7,
2012-04,-1.8,
2012-07,-1.8,
2012-10,-5.8,
2013-01,9.5,
2013-04,6.6,
2013-07,-3.2,
2013-10,-2.1,
2014-01,4.5,
2014-04,-0.2,
2014-07,1.2,
