"",BBK01.OEAC38O,BBK01.OEAC38O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:46,
2002-01,0.274,
2002-04,0.258,
2002-07,0.273,
2002-10,0.284,
2003-01,0.252,
2003-04,0.278,
2003-07,0.257,
2003-10,0.414,
2004-01,0.729,
2004-04,0.607,
2004-07,0.543,
2004-10,0.494,
2005-01,0.499,
2005-04,0.454,
2005-07,0.494,
2005-10,0.744,
2006-01,0.623,
2006-04,0.780,
2006-07,0.824,
2006-10,0.911,
2007-01,0.865,
2007-04,0.953,
2007-07,1.130,
2007-10,1.181,
2008-01,1.184,
2008-04,1.192,
2008-07,0.969,
2008-10,0.897,
2009-01,0.975,
2009-04,1.355,
2009-07,1.548,
2009-10,1.666,
2010-01,1.760,
2010-04,1.947,
2010-07,1.987,
2010-10,1.765,
2011-01,1.897,
2011-04,1.954,
2011-07,1.993,
2011-10,1.842,
2012-01,1.969,
2012-04,1.998,
2012-07,1.924,
2012-10,1.694,
2013-01,1.582,
2013-04,1.624,
2013-07,1.710,
2013-10,1.738,
2014-01,1.671,
2014-04,1.680,
2014-07,1.563,
