"",BBFB1.Q.N.DE.W03100.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.W03100.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:33,
1991-01,11.355,
1991-04,110.370,
1991-07,176.414,
1991-10,89.642,
1992-01,-192.417,
1992-04,30.091,
1992-07,58.415,
1992-10,83.981,
1993-01,85.516,
1993-04,3.245,
1993-07,139.274,
1993-10,-63.601,
1994-01,7.478,
1994-04,176.554,
1994-07,-56.694,
1994-10,-8.681,
1995-01,312.629,
1995-04,-70.047,
1995-07,656.339,
1995-10,229.818,
1996-01,-586.468,
1996-04,380.165,
1996-07,139.982,
1996-10,1333.546,
1997-01,-118.365,
1997-04,634.753,
1997-07,136.663,
1997-10,35.034,
1998-01,894.669,
1998-04,1645.213,
1998-07,160.146,
1998-10,16.247,
1999-01,696.944,
1999-04,268.702,
1999-07,-137.037,
1999-10,468.047,
2000-01,-465.480,
2000-04,1635.564,
2000-07,2713.711,
2000-10,249.280,
2001-01,2749.561,
2001-04,1939.605,
2001-07,56.067,
2001-10,-2721.056,
2002-01,-579.145,
2002-04,732.882,
2002-07,-546.902,
2002-10,766.425,
2003-01,2328.599,
2003-04,957.583,
2003-07,-4209.808,
2003-10,-3049.810,
2004-01,682.529,
2004-04,-229.372,
2004-07,-829.593,
2004-10,535.198,
2005-01,-790.979,
2005-04,-335.081,
2005-07,-1.796,
2005-10,181.607,
2006-01,1493.709,
2006-04,2034.463,
2006-07,1682.770,
2006-10,15390.917,
2007-01,2935.075,
2007-04,929.894,
2007-07,1149.517,
2007-10,899.613,
2008-01,854.019,
2008-04,-364.384,
2008-07,-1060.913,
2008-10,10.621,
2009-01,90.568,
2009-04,-1937.786,
2009-07,-1597.203,
2009-10,3441.208,
2010-01,1673.949,
2010-04,6257.719,
2010-07,1239.652,
2010-10,1793.120,
2011-01,104.170,
2011-04,-95.998,
2011-07,824.205,
2011-10,1437.888,
2012-01,-415.565,
2012-04,589.302,
2012-07,2079.558,
2012-10,231.159,
2013-01,922.707,
2013-04,-2051.185,
2013-07,1643.115,
2013-10,2177.734,
2014-01,-653.759,Provisional value
2014-04,567.934,Provisional value
2014-07,763.591,Provisional value
2014-10,975.379,Provisional value
