"",BBK01.OECO02U,BBK01.OECO02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:00,
2002-01,0.156,
2002-04,0.127,
2002-07,0.106,
2002-10,0.166,
2003-01,0.140,
2003-04,0.110,
2003-07,0.137,
2003-10,0.123,
2004-01,0.134,
2004-04,0.133,
2004-07,0.157,
2004-10,0.132,
2005-01,0.259,
2005-04,0.194,
2005-07,0.185,
2005-10,0.167,
2006-01,0.216,
2006-04,0.180,
2006-07,0.163,
2006-10,0.204,
2007-01,0.285,
2007-04,0.185,
2007-07,0.160,
2007-10,0.200,
2008-01,0.211,
2008-04,0.236,
2008-07,0.145,
2008-10,0.191,
2009-01,0.237,
2009-04,0.181,
2009-07,0.229,
2009-10,0.192,
2010-01,0.225,
2010-04,0.158,
2010-07,0.112,
2010-10,0.121,
2011-01,0.151,
2011-04,0.129,
2011-07,0.153,
2011-10,0.126,
2012-01,0.281,
2012-04,0.114,
2012-07,0.134,
2012-10,0.147,
2013-01,0.196,
2013-04,0.117,
2013-07,0.102,
2013-10,0.113,
2014-01,0.101,
2014-04,0.077,
2014-07,0.146,
