"",BBK01.OELJ03U,BBK01.OELJ03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:36,
2002-01,0.255,
2002-04,0.212,
2002-07,0.199,
2002-10,0.212,
2003-01,0.206,
2003-04,0.185,
2003-07,0.205,
2003-10,0.227,
2004-01,0.228,
2004-04,0.218,
2004-07,0.208,
2004-10,0.225,
2005-01,0.206,
2005-04,0.199,
2005-07,0.196,
2005-10,0.199,
2006-01,0.203,
2006-04,0.201,
2006-07,0.208,
2006-10,0.234,
2007-01,0.231,
2007-04,0.225,
2007-07,0.224,
2007-10,0.234,
2008-01,0.264,
2008-04,0.247,
2008-07,0.467,
2008-10,0.293,
2009-01,0.309,
2009-04,0.326,
2009-07,0.281,
2009-10,0.279,
2010-01,0.280,
2010-04,0.272,
2010-07,0.261,
2010-10,0.286,
2011-01,0.287,
2011-04,0.306,
2011-07,0.289,
2011-10,0.292,
2012-01,0.311,
2012-04,0.234,
2012-07,0.215,
2012-10,0.169,
2013-01,0.137,
2013-04,0.107,
2013-07,0.139,
2013-10,0.153,
2014-01,0.150,
2014-04,0.170,
2014-07,0.167,
