"",BBDE1.M.DE.Y.AEB5.N2C240000.F.V.I10.A,BBDE1.M.DE.Y.AEB5.N2C240000.F.V.I10.A_FLAGS
"",Orders received from abroad / At current prices / Germany / 24 Manufacture of basic metals / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:54,
1991-01,43.8,
1991-02,43.0,
1991-03,45.4,
1991-04,42.6,
1991-05,40.7,
1991-06,40.9,
1991-07,42.0,
1991-08,45.0,
1991-09,42.7,
1991-10,42.8,
1991-11,42.9,
1991-12,41.4,
1992-01,42.1,
1992-02,41.0,
1992-03,42.5,
1992-04,43.0,
1992-05,41.5,
1992-06,40.9,
1992-07,39.1,
1992-08,40.1,
1992-09,37.3,
1992-10,33.8,
1992-11,35.4,
1992-12,36.3,
1993-01,38.1,
1993-02,36.7,
1993-03,35.4,
1993-04,39.4,
1993-05,38.5,
1993-06,42.8,
1993-07,41.2,
1993-08,36.7,
1993-09,38.6,
1993-10,38.7,
1993-11,39.2,
1993-12,40.9,
1994-01,42.4,
1994-02,44.0,
1994-03,46.4,
1994-04,45.8,
1994-05,48.1,
1994-06,47.2,
1994-07,43.5,
1994-08,43.2,
1994-09,46.0,
1994-10,49.3,
1994-11,52.3,
1994-12,52.1,
1995-01,47.5,
1995-02,50.4,
1995-03,50.5,
1995-04,45.4,
1995-05,45.1,
1995-06,43.9,
1995-07,45.5,
1995-08,43.9,
1995-09,44.9,
1995-10,45.7,
1995-11,43.0,
1995-12,44.7,
1996-01,43.9,
1996-02,48.7,
1996-03,47.0,
1996-04,46.7,
1996-05,45.1,
1996-06,47.2,
1996-07,48.3,
1996-08,49.0,
1996-09,48.3,
1996-10,52.2,
1996-11,50.9,
1996-12,48.8,
1997-01,53.2,
1997-02,60.7,
1997-03,52.8,
1997-04,54.8,
1997-05,53.4,
1997-06,58.3,
1997-07,59.2,
1997-08,59.0,
1997-09,60.0,
1997-10,63.5,
1997-11,60.7,
1997-12,57.7,
1998-01,58.9,
1998-02,55.8,
1998-03,55.4,
1998-04,53.0,
1998-05,52.5,
1998-06,58.9,
1998-07,47.5,
1998-08,46.9,
1998-09,50.0,
1998-10,45.2,
1998-11,46.3,
1998-12,43.6,
1999-01,45.7,
1999-02,43.4,
1999-03,46.6,
1999-04,46.0,
1999-05,48.2,
1999-06,50.6,
1999-07,49.2,
1999-08,55.7,
1999-09,56.1,
1999-10,56.0,
1999-11,57.5,
1999-12,62.8,
2000-01,53.7,
2000-02,56.4,
2000-03,61.8,
2000-04,59.0,
2000-05,61.2,
2000-06,60.5,
2000-07,62.1,
2000-08,65.6,
2000-09,60.4,
2000-10,69.6,
2000-11,60.6,
2000-12,67.5,
2001-01,59.0,
2001-02,57.1,
2001-03,57.4,
2001-04,56.7,
2001-05,60.9,
2001-06,58.8,
2001-07,60.0,
2001-08,60.1,
2001-09,57.8,
2001-10,57.3,
2001-11,54.7,
2001-12,57.0,
2002-01,56.6,
2002-02,60.5,
2002-03,55.8,
2002-04,62.2,
2002-05,61.9,
2002-06,64.5,
2002-07,60.8,
2002-08,60.9,
2002-09,61.6,
2002-10,62.1,
2002-11,60.9,
2002-12,59.0,
2003-01,61.0,
2003-02,59.9,
2003-03,60.6,
2003-04,59.3,
2003-05,59.6,
2003-06,58.5,
2003-07,61.3,
2003-08,59.3,
2003-09,62.0,
2003-10,65.6,
2003-11,69.7,
2003-12,83.2,
2004-01,73.8,
2004-02,73.4,
2004-03,74.1,
2004-04,77.4,
2004-05,78.6,
2004-06,73.5,
2004-07,74.8,
2004-08,79.9,
2004-09,80.1,
2004-10,73.1,
2004-11,73.8,
2004-12,75.4,
2005-01,76.2,
2005-02,77.7,
2005-03,77.4,
2005-04,77.9,
2005-05,78.5,
2005-06,80.3,
2005-07,100.1,
2005-08,85.1,
2005-09,92.6,
2005-10,92.6,
2005-11,96.1,
2005-12,96.5,
2006-01,92.0,
2006-02,101.2,
2006-03,98.6,
2006-04,102.2,
2006-05,106.9,
2006-06,111.8,
2006-07,116.8,
2006-08,111.7,
2006-09,110.2,
2006-10,110.7,
2006-11,114.3,
2006-12,112.4,
2007-01,112.8,
2007-02,109.3,
2007-03,120.2,
2007-04,112.9,
2007-05,118.7,
2007-06,114.3,
2007-07,112.0,
2007-08,115.1,
2007-09,119.2,
2007-10,121.9,
2007-11,120.0,
2007-12,123.5,
2008-01,118.3,
2008-02,118.7,
2008-03,115.8,
2008-04,122.7,
2008-05,135.7,
2008-06,120.5,
2008-07,118.9,
2008-08,115.7,
2008-09,108.2,
2008-10,94.6,
2008-11,76.9,
2008-12,72.3,
2009-01,57.4,
2009-02,57.0,
2009-03,51.5,
2009-04,63.2,
2009-05,71.0,
2009-06,79.1,
2009-07,77.0,
2009-08,83.6,
2009-09,83.5,
2009-10,77.5,
2009-11,84.2,
2009-12,81.6,
2010-01,87.5,
2010-02,93.2,
2010-03,97.7,
2010-04,103.2,
2010-05,97.4,
2010-06,97.9,
2010-07,100.2,
2010-08,98.5,
2010-09,103.7,
2010-10,103.7,
2010-11,106.9,
2010-12,107.0,
2011-01,122.4,
2011-02,115.0,
2011-03,120.1,
2011-04,109.1,
2011-05,112.7,
