"",BBFB1.Q.N.DE.W1.S1.S1.T.N.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.N.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net financial account / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:59:28,
1991-01,-2362.957,
1991-04,-5785.040,
1991-07,-6427.614,
1991-10,2952.998,
1992-01,-2521.922,
1992-04,-1997.292,
1992-07,-2682.551,
1992-10,-2729.586,
1993-01,-15737.236,
1993-04,-5097.451,
1993-07,-4363.274,
1993-10,2119.043,
1994-01,-15484.608,
1994-04,-8836.678,
1994-07,-6060.164,
1994-10,-1450.898,
1995-01,-9445.877,
1995-04,-761.301,
1995-07,-12179.130,
1995-10,-5097.740,
1996-01,-6079.969,
1996-04,-7985.995,
1996-07,-9563.159,
1996-10,7722.924,
1997-01,-11836.921,
1997-04,-5624.938,
1997-07,8007.554,
1997-10,3057.727,
1998-01,-3152.246,
1998-04,-237.556,
1998-07,-20504.264,
1998-10,8280.365,
1999-01,26672.131,
1999-04,-11231.287,
1999-07,-7930.804,
1999-10,-2919.840,
2000-01,-14371.371,
2000-04,-39989.238,
2000-07,15652.022,
2000-10,-3822.636,
2001-01,-11875.867,
2001-04,-20250.242,
2001-07,3346.698,
2001-10,29726.683,
2002-01,-6952.844,
2002-04,-5661.796,
2002-07,10743.814,
2002-10,27805.617,
2003-01,10129.775,
2003-04,30291.462,
2003-07,-6324.908,
2003-10,29252.513,
2004-01,3752.533,
2004-04,67565.018,
2004-07,28136.417,
2004-10,27651.561,
2005-01,27274.398,
2005-04,47978.720,
2005-07,10283.307,
2005-10,32827.942,
2006-01,42692.434,
2006-04,72368.337,
2006-07,27606.222,
2006-10,35343.558,
2007-01,40925.690,
2007-04,65144.867,
2007-07,26833.424,
2007-10,81034.247,
2008-01,61874.259,
2008-04,48597.026,
2008-07,14013.397,
2008-10,43972.552,
2009-01,8707.202,
2009-04,54484.835,
2009-07,8718.052,
2009-10,64940.715,
2010-01,21553.282,
2010-04,23372.196,
2010-07,21265.109,
2010-10,45840.699,
2011-01,62193.448,
2011-04,51792.519,
2011-07,13162.400,
2011-10,33890.816,
2012-01,33716.824,
2012-04,46454.098,
2012-07,52846.159,
2012-10,80412.926,
2013-01,41503.488,
2013-04,67186.499,
2013-07,62211.000,
2013-10,74900.572,
2014-01,66746.691,
2014-04,64174.974,
2014-07,79528.662,
