"",BBSF2.M.1.T.00000.TOT01.I.F.INV.U9.00000.F05200.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.INV.U9.00000.F05200.Z01.00_FLAGS
"",Funds total / Funds total / Investment fund shares / All areas other than EU and ref./home area,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:08,
2009-09,892,
2009-10,940,
2009-11,999,
2009-12,1147,
2010-01,1269,
2010-02,1375,
2010-03,1443,
2010-04,1457,
2010-05,1520,
2010-06,1520,
2010-07,1417,
2010-08,1480,
2010-09,1477,
2010-10,1457,
2010-11,1593,
2010-12,1627,
2011-01,1494,
2011-02,1538,
2011-03,1560,
2011-04,1548,
2011-05,2116,
2011-06,2332,
2011-07,2469,
2011-08,2338,
2011-09,1513,
2011-10,1553,
2011-11,1555,
2011-12,1465,
2012-01,1632,
2012-02,1650,
2012-03,1636,
2012-04,1625,
2012-05,1632,
2012-06,1556,
2012-07,1683,
2012-08,1714,
2012-09,1665,
2012-10,1815,
2012-11,1849,
2012-12,1774,
2013-01,1709,
2013-02,1641,
2013-03,1657,
2013-04,1627,
2013-05,1556,
2013-06,1502,
2013-07,1500,
2013-08,1467,
2013-09,1413,
2013-10,1500,
2013-11,1475,
2013-12,1479,
2014-01,1529,
2014-02,1549,
2014-03,1539,
2014-04,1440,
2014-05,1424,
2014-06,1433,
2014-07,1460,
2014-08,1492,
2014-09,1298,
2014-10,1299,
2014-11,1329,
