"",BBK01.OEAF18I,BBK01.OEAF18I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:37,
2002-01,0.058,
2002-04,0.203,
2002-07,0.241,
2002-10,0.096,
2003-01,0.231,
2003-04,0.220,
2003-07,0.197,
2003-10,0.049,
2004-01,0.181,
2004-04,0.179,
2004-07,0.181,
2004-10,0.176,
2005-01,0.175,
2005-04,0.171,
2005-07,0.183,
2005-10,0.325,
2006-01,0.200,
2006-04,0.023,
2006-07,0.096,
2006-10,0.032,
2007-01,0.044,
2007-04,0.040,
2007-07,0.038,
2007-10,0.037,
2008-01,0.051,
2008-04,0.033,
2008-07,0.020,
2008-10,0.216,
2009-01,0.015,
2009-04,0.015,
2009-07,0.011,
2009-10,0.013,
2010-01,0.013,
2010-04,0.013,
2010-07,0.014,
2010-10,0.016,
2011-01,0.015,
2011-04,0.013,
2011-07,0.014,
2011-10,0.014,
2012-01,0.013,
2012-04,0.015,
2012-07,0.014,
2012-10,0.014,
2013-01,0.022,
2013-04,0.017,
2013-07,0.021,
2013-10,0.028,
2014-01,0.025,
2014-04,0.029,
2014-07,0.039,
