"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.AU.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.AU.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Australia,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:09,
2009-09,5456,
2009-10,5537,
2009-11,6040,
2009-12,6051,
2010-01,5937,
2010-02,6128,
2010-03,6665,
2010-04,6801,
2010-05,6579,
2010-06,6396,
2010-07,6585,
2010-08,6645,
2010-09,7049,
2010-10,7126,
2010-11,7167,
2010-12,7223,
2011-01,6867,
2011-02,6955,
2011-03,7173,
2011-04,7375,
2011-05,7441,
2011-06,7374,
2011-07,7479,
2011-08,7320,
2011-09,7077,
2011-10,7338,
2011-11,7417,
2011-12,7558,
2012-01,8423,
2012-02,8779,
2012-03,8986,
2012-04,9100,
2012-05,9285,
2012-06,9249,
2012-07,9968,
2012-08,10089,
2012-09,10322,
2012-10,10364,
2012-11,10238,
2012-12,10557,
2013-01,10362,
2013-02,10705,
2013-03,10940,
2013-04,11315,
2013-05,10937,
2013-06,10488,
2013-07,10787,
2013-08,10696,
2013-09,11128,
2013-10,11641,
2013-11,11581,
2013-12,11521,
2014-01,11917,
2014-02,12020,
2014-03,12548,
2014-04,12886,
2014-05,13207,
2014-06,13430,
2014-07,13680,
2014-08,14001,
2014-09,14001,
2014-10,14603,
2014-11,14392,
