"",BBK01.OEAB09P,BBK01.OEAB09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:52,
2002-01,5.877,
2002-04,5.922,
2002-07,5.934,
2002-10,5.501,
2003-01,5.716,
2003-04,5.566,
2003-07,5.441,
2003-10,5.368,
2004-01,5.229,
2004-04,5.260,
2004-07,5.369,
2004-10,5.294,
2005-01,5.368,
2005-04,5.418,
2005-07,5.280,
2005-10,5.177,
2006-01,5.203,
2006-04,5.274,
2006-07,5.265,
2006-10,5.151,
2007-01,5.113,
2007-04,5.107,
2007-07,5.171,
2007-10,5.265,
2008-01,5.314,
2008-04,5.592,
2008-07,5.707,
2008-10,5.768,
2009-01,5.754,
2009-04,5.813,
2009-07,5.846,
2009-10,5.838,
2010-01,5.935,
2010-04,5.994,
2010-07,5.969,
2010-10,6.035,
2011-01,6.178,
2011-04,6.377,
2011-07,6.605,
2011-10,6.450,
2012-01,6.950,
2012-04,6.935,
2012-07,7.039,
2012-10,6.994,
2013-01,7.062,
2013-04,7.093,
2013-07,7.168,
2013-10,7.263,
2014-01,7.133,
2014-04,7.255,
2014-07,7.354,
