"",BBK01.OEAA03O,BBK01.OEAA03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:25,
2002-01,11.400,
2002-04,11.250,
2002-07,11.450,
2002-10,11.436,
2003-01,13.393,
2003-04,9.719,
2003-07,10.084,
2003-10,9.875,
2004-01,9.969,
2004-04,9.596,
2004-07,9.748,
2004-10,9.760,
2005-01,12.557,
2005-04,12.175,
2005-07,12.073,
2005-10,11.935,
2006-01,12.792,
2006-04,12.267,
2006-07,12.788,
2006-10,12.320,
2007-01,12.447,
2007-04,12.466,
2007-07,13.521,
2007-10,12.899,
2008-01,13.662,
2008-04,13.285,
2008-07,12.506,
2008-10,12.855,
2009-01,12.118,
2009-04,11.654,
2009-07,11.395,
2009-10,11.876,
2010-01,11.817,
2010-04,12.290,
2010-07,12.790,
2010-10,12.663,
2011-01,12.478,
2011-04,12.750,
2011-07,12.197,
2011-10,11.714,
2012-01,12.092,
2012-04,12.143,
2012-07,11.755,
2012-10,12.024,
2013-01,12.070,
2013-04,11.915,
2013-07,12.646,
2013-10,11.988,
2014-01,12.318,
2014-04,12.355,
2014-07,11.855,
