"",BBFB1.M.N.DE.W1.S13.S1.T.A.FA.O.F4.L._T.N.N,BBFB1.M.N.DE.W1.S13.S1.T.A.FA.O.F4.L._T.N.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Loans / General government / Long-term / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:38,
1991-01,-134.445,
1991-02,142.942,
1991-03,268.876,
1991-04,-90.403,
1991-05,108.639,
1991-06,377.296,
1991-07,-39.567,
1991-08,34.557,
1991-09,232.648,
1991-10,70.495,
1991-11,178.231,
1991-12,59.394,
1992-01,35.020,
1992-02,167.732,
1992-03,355.975,
1992-04,147.785,
1992-05,129.097,
1992-06,126.061,
1992-07,15.999,
1992-08,-42.659,
1992-09,420.429,
1992-10,114.236,
1992-11,134.399,
1992-12,496.968,
1993-01,44.407,
1993-02,115.382,
1993-03,440.733,
1993-04,67.385,
1993-05,132.602,
1993-06,567.461,
1993-07,-195.371,
1993-08,13.075,
1993-09,407.571,
1993-10,-17.483,
1993-11,-30.469,
1993-12,1809.551,
1994-01,-9.163,
1994-02,-6.398,
1994-03,916.371,
1994-04,-5.360,
1994-05,-8.936,
1994-06,1038.896,
1994-07,-4.099,
1994-08,-8.901,
1994-09,-159.245,
1994-10,-3.877,
1994-11,-0.598,
1994-12,844.322,
1995-01,-0.164,
1995-02,19.652,
1995-03,384.642,
1995-04,-1096.937,
1995-05,156.825,
1995-06,57.438,
1995-07,46.008,
1995-08,68.435,
1995-09,27.917,
1995-10,45.313,
1995-11,1202.999,
1995-12,281.809,
1996-01,118.196,
1996-02,102.677,
1996-03,59.392,
1996-04,17.793,
1996-05,138.086,
1996-06,-0.985,
1996-07,8.163,
1996-08,52.987,
1996-09,-76.809,
1996-10,2.809,
1996-11,76.143,
1996-12,227.532,
1997-01,-24.472,
1997-02,557.611,
1997-03,298.051,
1997-04,34.989,
1997-05,-31.773,
1997-06,71.415,
1997-07,314.317,
1997-08,121.905,
1997-09,10.553,
1997-10,-10.531,
1997-11,123.241,
1997-12,124.605,
1998-01,280.321,
1998-02,-2.974,
1998-03,15.618,
1998-04,-15.075,
1998-05,21.970,
1998-06,69.430,
1998-07,300.479,
1998-08,35.423,
1998-09,19.325,
1998-10,38.270,
1998-11,59.877,
1998-12,57.609,
1999-01,59.330,
1999-02,-10.988,
1999-03,-77.243,
1999-04,-62.103,
1999-05,12.302,
1999-06,110.704,
1999-07,61.432,
1999-08,0.572,
1999-09,29.632,
1999-10,106.948,
1999-11,121.942,
1999-12,23.282,
2000-01,-31.464,
2000-02,61.494,
2000-03,59.568,
2000-04,217.709,
2000-05,44.250,
2000-06,57.062,
2000-07,11.488,
2000-08,433.836,
2000-09,213.010,
2000-10,14.962,
2000-11,9.788,
2000-12,-12.696,
2001-01,5.829,
2001-02,-163.296,
2001-03,-1.663,
2001-04,-40.442,
2001-05,-159.719,
2001-06,21.604,
2001-07,35.827,
2001-08,35.695,
2001-09,13.882,
2001-10,-60.171,
2001-11,-163.001,
2001-12,218.272,
2002-01,-43.815,
2002-02,-102.486,
2002-03,32.391,
2002-04,-247.655,
2002-05,86.486,
2002-06,10.429,
2002-07,-70.727,
2002-08,-89.628,
2002-09,221.082,
2002-10,5.223,
2002-11,-58.512,
2002-12,39.626,
2003-01,-105.942,
2003-02,-228.764,
2003-03,25.717,
2003-04,-6.340,
2003-05,61.642,
2003-06,-49.842,
2003-07,-52.540,
2003-08,-223.447,
2003-09,-0.084,
2003-10,-23.237,
2003-11,-103.324,
2003-12,11.676,
2004-01,-69.346,
2004-02,-274.511,
2004-03,42.453,
2004-04,-35.647,
2004-05,28.369,
2004-06,-61.166,
2004-07,-48.641,
2004-08,-56.477,
2004-09,-8.685,
2004-10,-110.633,
2004-11,-265.405,
2004-12,72.938,
2005-01,-1895.555,
2005-02,-4.819,
2005-03,-301.076,
2005-04,-1172.298,
2005-05,31.748,
2005-06,-15.222,
2005-07,-3905.736,
2005-08,-615.479,
2005-09,-326.209,
2005-10,-36.034,
2005-11,124.371,
2005-12,-308.129,
2006-01,-299.383,
2006-02,-10.351,
2006-03,-205.217,
2006-04,1.540,
2006-05,17.690,
2006-06,-546.701,
2006-07,-181.039,
2006-08,8.328,
2006-09,-6433.815,
2006-10,-74.578,
2006-11,-25.482,
2006-12,-314.829,
2007-01,17.301,
2007-02,-33.111,
2007-03,-12.824,
2007-04,-12.718,
2007-05,-85.395,
2007-06,-12.325,
2007-07,-16.621,
2007-08,9.340,
2007-09,-7.717,
2007-10,-31.878,
2007-11,-362.269,
2007-12,-328.842,
2008-01,-7.400,
2008-02,24.775,
2008-03,50.836,
2008-04,-88.425,
2008-05,-2.556,
2008-06,-7.571,
2008-07,1.686,
2008-08,39.343,
2008-09,-144.555,
2008-10,-21.886,
2008-11,-28.093,
2008-12,-284.269,
2009-01,4.174,
2009-02,-9.556,
2009-03,2.479,
2009-04,16.520,
2009-05,-57.367,
2009-06,-3.806,
2009-07,17.897,
2009-08,389.154,
2009-09,398.900,
2009-10,436.944,
2009-11,415.091,
2009-12,191.283,
2010-01,469.163,
2010-02,440.062,
2010-03,220.669,
2010-04,38.629,
2010-05,10140.020,
2010-06,-47.819,
2010-07,-178.890,
2010-08,-300.544,
2010-09,-123.246,
2010-10,31344.744,
2010-11,-357.098,
2010-12,-1365.469,
2011-01,-391.751,
2011-02,-1236.651,
2011-03,138.794,
2011-04,-224.275,
2011-05,-434.904,
2011-06,1220.160,
2011-07,733.937,
2011-08,-409.080,
2011-09,-105.077,
2011-10,1381.307,
2011-11,1985.803,
2011-12,-44.867,
2012-01,1013.092,
2012-02,-394.252,
2012-03,9051.074,
2012-04,10145.508,
2012-05,2534.724,
2012-06,559.830,
2012-07,-2160.680,
2012-08,2082.437,
2012-09,-853.228,
2012-10,10029.552,
2012-11,171.742,
2012-12,8138.097,
2013-01,-234.747,
2013-02,568.734,
2013-03,80.242,
2013-04,-756.807,
2013-05,3028.272,
2013-06,1673.101,
2013-07,-64.672,
2013-08,3444.427,
2013-09,-262.465,
2013-10,-570.959,
2013-11,275.776,
2013-12,112.481,
2014-01,-135.774,
2014-02,-555.729,Provisional value
2014-03,-384.881,Provisional value
2014-04,1571.656,Provisional value
2014-05,-124.280,Provisional value
2014-06,-2210.509,Provisional value
2014-07,-421.834,Provisional value
2014-08,-244.544,Provisional value
2014-09,-165.760,
2014-10,-504.400,
2014-11,-1853.774,
2014-12,-686.174,Provisional value
