"",BBK01.OEAD32I,BBK01.OEAD32I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:11,
2002-01,0.156,
2002-04,0.146,
2002-07,0.157,
2002-10,0.121,
2003-01,0.095,
2003-04,0.127,
2003-07,0.116,
2003-10,0.099,
2004-01,0.088,
2004-04,0.090,
2004-07,0.083,
2004-10,0.079,
2005-01,0.072,
2005-04,0.070,
2005-07,0.066,
2005-10,0.071,
2006-01,0.061,
2006-04,0.059,
2006-07,0.055,
2006-10,0.052,
2007-01,0.058,
2007-04,0.063,
2007-07,0.067,
2007-10,0.056,
2008-01,0.056,
2008-04,0.056,
2008-07,0.056,
2008-10,0.051,
2009-01,0.062,
2009-04,0.060,
2009-07,0.076,
2009-10,0.072,
2010-01,0.048,
2010-04,0.048,
2010-07,0.052,
2010-10,0.056,
2011-01,0.088,
2011-04,0.088,
2011-07,0.094,
2011-10,0.110,
2012-01,0.112,
2012-04,0.111,
2012-07,0.101,
2012-10,0.108,
2013-01,0.103,
2013-04,0.114,
2013-07,0.114,
2013-10,0.108,
2014-01,0.100,
2014-04,0.096,
2014-07,0.072,
