"",BBFB1.Q.N.DE.CH.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:48,
1991-01,-91.624,
1991-04,-16.028,
1991-07,-79.802,
1991-10,-118.191,
1992-01,-31.127,
1992-04,-128.406,
1992-07,-47.905,
1992-10,-76.283,
1993-01,-129.603,
1993-04,-111.747,
1993-07,-111.670,
1993-10,-115.613,
1994-01,-117.612,
1994-04,-135.887,
1994-07,-138.640,
1994-10,-141.491,
1995-01,-130.829,
1995-04,-103.244,
1995-07,-153.457,
1995-10,-127.481,
1996-01,-130.895,
1996-04,-122.809,
1996-07,-112.589,
1996-10,-102.293,
1997-01,-136.996,
1997-04,-159.618,
1997-07,-97.797,
1997-10,-148.315,
1998-01,-138.883,
1998-04,-30.070,
1998-07,-139.058,
1998-10,-81.683,
1999-01,-35.242,
1999-04,32.331,
1999-07,-23.105,
1999-10,148.769,
2000-01,-102.455,
2000-04,81.765,
2000-07,-31.423,
2000-10,-142.856,
2001-01,-191.101,
2001-04,-56.004,
2001-07,-39.398,
2001-10,-137.849,
2002-01,-147.464,
2002-04,-62.339,
2002-07,-88.081,
2002-10,-147.895,
2003-01,-113.105,
2003-04,-34.169,
2003-07,-218.338,
2003-10,-234.865,
2004-01,-103.898,
2004-04,-57.083,
2004-07,-191.164,
2004-10,-237.058,
2005-01,-143.438,
2005-04,-17.404,
2005-07,-196.807,
2005-10,-188.532,
2006-01,-144.923,
2006-04,-20.744,
2006-07,-178.878,
2006-10,-198.638,
2007-01,-176.972,
2007-04,95.479,
2007-07,-89.935,
2007-10,-177.426,
2008-01,-133.406,
2008-04,37.577,
2008-07,-126.010,
2008-10,-98.607,
2009-01,-161.244,
2009-04,30.197,
2009-07,-164.094,
2009-10,-198.197,
2010-01,-218.381,
2010-04,41.521,
2010-07,-133.776,
2010-10,-115.266,
2011-01,-228.942,
2011-04,282.704,
2011-07,-189.300,
2011-10,-227.221,
2012-01,-145.605,
2012-04,237.994,
2012-07,-218.859,
2012-10,-1088.082,
2013-01,-163.752,
2013-04,248.276,
2013-07,-178.111,
2013-10,-168.451,
2014-01,-114.276,Provisional value
2014-04,55.401,Provisional value
2014-07,-132.020,Provisional value
