"",BBK01.OEAJ05S,BBK01.OEAJ05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:28,
2002-01,0.069,
2002-04,0.061,
2002-07,0.062,
2002-10,0.067,
2003-01,0.064,
2003-04,0.064,
2003-07,0.066,
2003-10,0.065,
2004-01,0.064,
2004-04,0.065,
2004-07,0.060,
2004-10,0.064,
2005-01,0.059,
2005-04,0.056,
2005-07,0.054,
2005-10,0.057,
2006-01,0.058,
2006-04,0.057,
2006-07,0.057,
2006-10,0.058,
2007-01,0.053,
2007-04,0.053,
2007-07,0.066,
2007-10,0.065,
2008-01,0.056,
2008-04,0.055,
2008-07,0.064,
2008-10,0.064,
2009-01,0.058,
2009-04,0.061,
2009-07,0.102,
2009-10,0.163,
2010-01,0.171,
2010-04,0.170,
2010-07,0.168,
2010-10,0.175,
2011-01,0.174,
2011-04,0.174,
2011-07,0.193,
2011-10,0.275,
2012-01,0.309,
2012-04,0.339,
2012-07,0.352,
2012-10,0.379,
2013-01,0.381,
2013-04,0.563,
2013-07,0.591,
2013-10,0.594,
2014-01,0.601,
2014-04,0.646,
2014-07,0.663,
