"",BBK01.OELB01V,BBK01.OELB01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:49,
2002-01,4.198,
2002-04,4.218,
2002-07,4.181,
2002-10,4.175,
2003-01,4.173,
2003-04,4.140,
2003-07,4.143,
2003-10,4.054,
2004-01,4.010,
2004-04,3.985,
2004-07,3.974,
2004-10,4.064,
2005-01,3.999,
2005-04,3.960,
2005-07,3.961,
2005-10,3.960,
2006-01,3.924,
2006-04,3.961,
2006-07,3.981,
2006-10,3.840,
2007-01,3.814,
2007-04,3.835,
2007-07,3.881,
2007-10,3.897,
2008-01,3.884,
2008-04,3.939,
2008-07,4.020,
2008-10,4.045,
2009-01,4.048,
2009-04,4.100,
2009-07,4.096,
2009-10,4.115,
2010-01,4.186,
2010-04,4.179,
2010-07,4.265,
2010-10,4.179,
2011-01,4.214,
2011-04,4.395,
2011-07,4.500,
2011-10,4.567,
2012-01,4.663,
2012-04,6.095,
2012-07,6.260,
2012-10,6.373,
2013-01,6.459,
2013-04,6.581,
2013-07,6.721,
2013-10,6.797,
2014-01,6.879,
2014-04,7.014,
2014-07,7.247,
