"",BBK01.OELB24N,BBK01.OELB24N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:25,
2002-01,0.227,
2002-04,0.217,
2002-07,0.191,
2002-10,0.218,
2003-01,0.167,
2003-04,0.174,
2003-07,0.149,
2003-10,0.138,
2004-01,0.144,
2004-04,0.144,
2004-07,0.145,
2004-10,0.136,
2005-01,0.150,
2005-04,0.148,
2005-07,0.144,
2005-10,0.154,
2006-01,0.151,
2006-04,0.145,
2006-07,0.165,
2006-10,0.214,
2007-01,0.217,
2007-04,0.277,
2007-07,0.276,
2007-10,0.291,
2008-01,0.273,
2008-04,0.297,
2008-07,0.290,
2008-10,0.245,
2009-01,0.231,
2009-04,0.262,
2009-07,0.268,
2009-10,0.281,
2010-01,0.286,
2010-04,0.335,
2010-07,0.339,
2010-10,0.374,
2011-01,0.382,
2011-04,0.381,
2011-07,0.394,
2011-10,0.377,
2012-01,0.361,
2012-04,0.355,
2012-07,0.347,
2012-10,0.357,
2013-01,0.345,
2013-04,0.345,
2013-07,0.341,
2013-10,0.325,
2014-01,0.337,
2014-04,0.346,
2014-07,0.337,
