"",BBSF2.M.1.T.00000.SON01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.SON01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Other funds / Net sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:06,
2009-09,621,
2009-10,323,
2009-11,2352,
2009-12,105,
2010-01,18,
2010-02,80,
2010-03,430,
2010-04,122,
2010-05,266,
2010-06,85,
2010-07,573,
2010-08,165,
2010-09,-124,
2010-10,253,
2010-11,438,
2010-12,-47,
2011-01,85,
2011-02,184,
2011-03,88,
2011-04,108,
2011-05,285,
2011-06,110,
2011-07,47,
2011-08,997,
2011-09,29,
2011-10,82,
2011-11,932,
2011-12,-568,
2012-01,96,
2012-02,-151,
2012-03,221,
2012-04,254,
2012-05,271,
2012-06,-102,
2012-07,-15,
2012-08,421,
2012-09,180,
2012-10,4,
2012-11,911,
2012-12,-514,
2013-01,139,
2013-02,22,
2013-03,433,
2013-04,987,
2013-05,387,
2013-06,36,
2013-07,323,
2013-08,118,
2013-09,374,
2013-10,-120,
2013-11,-179,
2013-12,474,
2014-01,250,
2014-02,583,
2014-03,425,
2014-04,108,
2014-05,235,
2014-06,277,
2014-07,610,
2014-08,229,
2014-09,293,
2014-10,221,
2014-11,664,
