"",BBK01.TYI319,BBK01.TYI319_FLAGS
"",Monetary capital formation at monetary financial institutions(MFIs) in the euro area / Deposits with an agreed maturity of over 2 years / German contribution / Changes,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:55,
1980-01,0,
1980-02,1520,
1980-03,647,
1980-04,1393,
1980-05,1489,
1980-06,1269,
1980-07,1758,
1980-08,1544,
1980-09,654,
1980-10,711,
1980-11,695,
1980-12,1529,
1981-01,1105,
1981-02,988,
1981-03,1472,
1981-04,273,
1981-05,1177,
1981-06,220,
1981-07,1004,
1981-08,519,
1981-09,522,
1981-10,815,
1981-11,731,
1981-12,1334,
1982-01,103,
1982-02,344,
1982-03,538,
1982-04,395,
1982-05,888,
1982-06,352,
1982-07,-1498,
1982-08,696,
1982-09,376,
1982-10,889,
1982-11,729,
1982-12,2141,
1983-01,1246,
1983-02,1501,
1983-03,1702,
1983-04,1256,
1983-05,1629,
1983-06,1216,
1983-07,2102,
1983-08,1025,
1983-09,1174,
1983-10,1671,
1983-11,1430,
1983-12,2614,
1984-01,1835,
1984-02,2003,
1984-03,1502,
1984-04,1287,
1984-05,1365,
1984-06,694,
1984-07,1348,
1984-08,1145,
1984-09,1460,
1984-10,2148,
1984-11,1738,
1984-12,2439,
1985-01,1515,
1985-02,1923,
1985-03,1149,
1985-04,1548,
1985-05,1298,
1985-06,1423,
1985-07,1612,
1985-08,2432,
1985-09,983,
1985-10,2355,
1985-11,2121,
1985-12,2174,
1986-01,2921,
1986-02,2589,
1986-03,2062,
1986-04,2267,
1986-05,1438,
1986-06,1049,
1986-07,2296,
1986-08,1879,
1986-09,1805,
1986-10,1927,
1986-11,1471,
1986-12,2875,
1987-01,3243,
1987-02,2699,
1987-03,1973,
1987-04,2338,
1987-05,2317,
1987-06,1464,
1987-07,2277,
1987-08,1818,
1987-09,1976,
1987-10,2259,
1987-11,1586,
1987-12,3386,
1988-01,2760,
1988-02,2027,
1988-03,2361,
1988-04,1542,
1988-05,2294,
1988-06,1297,
1988-07,2616,
1988-08,2593,
1988-09,1238,
1988-10,1178,
1988-11,1508,
1988-12,3202,
1989-01,2936,
1989-02,2119,
1989-03,1185,
1989-04,2401,
1989-05,2206,
1989-06,1283,
1989-07,1423,
1989-08,2508,
1989-09,1096,
1989-10,1564,
1989-11,1933,
1989-12,4291,
1990-01,3676,
1990-02,2097,
1990-03,1874,
1990-04,1807,
1990-05,1533,
1990-06,3261,
1990-07,2071,
1990-08,2337,
1990-09,2191,
1990-10,1178,
1990-11,2094,
1990-12,4277,
1991-01,1388,
1991-02,1818,
1991-03,3048,
1991-04,1858,
1991-05,910,
1991-06,2311,
1991-07,96,
1991-08,1406,
1991-09,376,
1991-10,1418,
1991-11,1800,
1991-12,2599,
1992-01,3271,
1992-02,1818,
1992-03,1518,
1992-04,1307,
1992-05,707,
1992-06,409,
1992-07,461,
1992-08,1224,
1992-09,2007,
1992-10,-172,
1992-11,685,
1992-12,761,
1993-01,-40,
1993-02,2056,
1993-03,706,
1993-04,336,
1993-05,1546,
1993-06,1105,
1993-07,778,
1993-08,1520,
1993-09,614,
1993-10,2320,
1993-11,810,
1993-12,1953,
1994-01,662,
1994-02,4681,
1994-03,3466,
1994-04,1974,
1994-05,3125,
1994-06,436,
1994-07,2894,
1994-08,3271,
1994-09,1921,
1994-10,3458,
1994-11,4040,
1994-12,-136,
1995-01,6624,
1995-02,6363,
1995-03,5783,
1995-04,3974,
1995-05,4664,
1995-06,4806,
1995-07,3821,
1995-08,4130,
1995-09,1203,
1995-10,1272,
1995-11,4299,
1995-12,9484,
1996-01,3165,
1996-02,7384,
1996-03,3374,
1996-04,4059,
1996-05,4931,
1996-06,3495,
1996-07,5251,
1996-08,3209,
1996-09,3168,
1996-10,2980,
1996-11,3946,
1996-12,4479,
1997-01,4299,
1997-02,4239,
