"",BBK01.OEBB20N,BBK01.OEBB20N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:44,
2002-01,45.195,
2002-04,46.003,
2002-07,46.826,
2002-10,47.396,
2003-01,47.956,
2003-04,49.000,
2003-07,50.123,
2003-10,51.368,
2004-01,51.469,
2004-04,53.035,
2004-07,57.068,
2004-10,35.665,
2005-01,40.834,
2005-04,41.840,
2005-07,41.394,
2005-10,41.865,
2006-01,41.871,
2006-04,41.989,
2006-07,42.299,
2006-10,42.821,
2007-01,42.801,
2007-04,43.607,
2007-07,43.675,
2007-10,43.685,
2008-01,43.826,
2008-04,45.096,
2008-07,46.897,
2008-10,46.776,
2009-01,46.192,
2009-04,46.759,
2009-07,47.307,
2009-10,47.174,
2010-01,47.813,
2010-04,47.205,
2010-07,47.828,
2010-10,47.694,
2011-01,47.832,
2011-04,47.974,
2011-07,48.098,
2011-10,48.151,
2012-01,48.350,
2012-04,48.429,
2012-07,48.885,
2012-10,49.519,
2013-01,49.747,
2013-04,50.197,
2013-07,50.700,
2013-10,51.188,
2014-01,51.661,
2014-04,52.158,
2014-07,52.649,
